MeterCategory,MeterSubCategory
Advanced Data Security,SQL Database
Advanced Threat Protection,Azure Container Registry
Advanced Threat Protection,Azure Database for MySQL
Advanced Threat Protection,Azure Database for PostgreSQL
Advanced Threat Protection,Azure Kubernetes Services
Advanced Threat Protection,Key Vault
Advanced Threat Protection,Storage
API Management,
App Center,
Application Gateway,Basic
Application Gateway,Standard v2
Application Gateway,WAF
Application Gateway,WAF v2
Application Insights,
Automation,Configuration Management
Automation,Process
Automation,Update Management
Azure Active Directory B2C,
Azure Active Directory Domain Services,
Azure Analysis Services,Basic
Azure Analysis Services,Developer
Azure Analysis Services,Standard
Azure Analysis Services,Standard v2
Azure API for FHIR,
Azure App Service,Basic Plan
Azure App Service,Basic Plan - Linux
Azure App Service,Domain
Azure App Service,Free Plan
Azure App Service,Free Plan - Linux
Azure App Service,Isolated Plan
Azure App Service,Isolated Plan - Linux
Azure App Service,Premium Plan
Azure App Service,Premium v2 Plan
Azure App Service,Premium v2 Plan - Linux
Azure App Service,Premium Windows Container Plan
Azure App Service,Reservation
Azure App Service,Shared Plan
Azure App Service,SSL Certificates
Azure App Service,SSL Connections
Azure App Service,Standard Plan
Azure App Service,Standard Plan - Linux
Azure Bastion,
Azure Blockchain,Quorum
Azure Bot Service,
Azure Cognitive Search,
Azure Cosmos DB,
Azure Cosmos DB,Analytics Storage
Azure Cosmos DB,Autopilot
Azure Cosmos DB,Backup Storage
Azure Cosmos DB,Compute Attached SSD Disk
Azure Cosmos DB,Reservation
Azure Data Explorer,
Azure Data Explorer,Reservation
Azure Data Factory,
Azure Data Factory v2,
Azure Data Factory v2,Data Flow - Compute Optimized
Azure Data Factory v2,Data Flow - General Purpose
Azure Data Factory v2,Data Flow - Memory Optimized
Azure Data Factory v2,SSIS Enterprise A-series v2 VM
Azure Data Factory v2,SSIS Enterprise D-series v2 VM
Azure Data Factory v2,SSIS Enterprise D-series v3 VM
Azure Data Factory v2,SSIS Enterprise E-series v3 VM
Azure Data Factory v2,SSIS Standard A-series v2 VM
Azure Data Factory v2,SSIS Standard D-series v2 VM
Azure Data Factory v2,SSIS Standard D-series v3 VM
Azure Data Factory v2,SSIS Standard E-series v3 VM
Azure Data Factory v2,Wrangling Data Flow - Compute Optimized
Azure Data Factory v2,Wrangling Data Flow - General Purpose
Azure Data Factory v2,Wrangling Data Flow - Memory Optimized
Azure Data Share,
Azure Database for MariaDB,Backup Storage
Azure Database for MariaDB,Basic - Compute Gen4
Azure Database for MariaDB,Basic - Compute Gen5
Azure Database for MariaDB,Basic - Storage
Azure Database for MariaDB,Basic Storage
Azure Database for MariaDB,Compute Reservation
Azure Database for MariaDB,General Purpose - Compute Gen4
Azure Database for MariaDB,General Purpose - Compute Gen5
Azure Database for MariaDB,General Purpose - Large-Scale Storage
Azure Database for MariaDB,General Purpose - Storage
Azure Database for MariaDB,General Purpose Storage
Azure Database for MariaDB,Memory Optimized - Compute Gen4
Azure Database for MariaDB,Memory Optimized - Compute Gen5
Azure Database for MariaDB,Perf Optimized Storage
Azure Database for MySQL,Backup Storage
Azure Database for MySQL,Basic - Compute Gen4
Azure Database for MySQL,Basic - Compute Gen5
Azure Database for MySQL,Basic - Storage
Azure Database for MySQL,Compute Reservation
Azure Database for MySQL,General Purpose - Compute Gen4
Azure Database for MySQL,General Purpose - Compute Gen5
