EffectiveDate,MeterName,MeterSubCategory,MeterRegion,PerHour,PerMonth
31-Jan-2016,D14 v2/DS14 v2,Dv2/DSv2 Series Windows,US East 2,1.944,1419.12
31-Oct-2016,A1 v2,Av2 Series,US East 2,0.043,31.389999999999997
16-Jun-2017,D32 v3/D32s v3,Dv3/DSv3 Series Windows,AP Southeast,3.472,2534.56
31-Dec-2018,E20 v3/E20s v3,Ev3/ESv3 Series,US East,1.26,919.8
30-Sep-2015,D2/DS2,D/DS Series,US East,0.154,112.42
27-Feb-2019,M416s v2,MSv2 Series,EU North,59.496,43432.08
27-Feb-2019,M208s v2 Low Priority,MSv2 Series,EU North,5.354,3908.42
31-Jul-2019,E48 v3/E48s v3 Low Priority,Ev3/ESv3 Series Windows,AP East,2.486,1814.7800000000002
28-Feb-2019,F1/F1s,F/FS Series,EU West,0.0568,41.464000000000006
10-Jan-2019,NC24,NC Promo Series,EU North,1.711,1249.03
02-Nov-2017,M128s Low Priority,MS Series,AP Southeast,3.868,2823.64
31-Dec-2018,E4 v3/E4s v3,Ev3/ESv3 Series Windows,EU North,0.466,340.18
31-Oct-2016,A8m v2,Av2 Series,US East 2,0.524,382.52000000000004
08-May-2019,F48s v2 Low Priority,FSv2 Series Windows,US East 2,1.696,1238.08
30-Nov-2019,D8a v4/D8as v4,Dav4/Dasv4 Series,AP Southeast,0.48,350.4
28-Feb-2017,D13 v2/DS13 v2 Low Priority,Dv2/DSv2 Series,US East,0.148,108.03999999999999
27-Feb-2019,M208s v2 Low Priority,MSv2 Series Windows,US East 2,12.751,9308.23
31-Mar-2019,ND24s Low Priority,NDS Series,EU West,2.145,1565.85
02-Dec-2019,Type 2,ESv3 Series Dedicated Host,US East 2,4.297,3136.81
09-Jun-2019,D15i v2/DS15i v2,Dv2/DSv2 Series Windows,AP East,3.518,2568.14
09-Aug-2018,M32ts,MS Series Windows,AP East,5.9005,4307.365
30-Apr-2019,NC12s v3,NCSv3 Series,AP Southeast,8.468,6181.64
31-Mar-2019,D11/DS11 Low Priority,D/DS Series,EU North,0.0386,28.178
28-Feb-2019,F1/F1s,F/FS Series,AP Southeast,0.0577,42.121
26-Apr-2018,M64ls Low Priority,MS Series Windows,US East,2.2606,1650.238
31-Aug-2018,D12 v2/DS12 v2 - Expired,Dv2/DSv2 Promo Series Windows,US East,0.528,385.44
02-Feb-2017,E2 v3/E2s v3,Ev3/ESv3 Series,EU West,0.16,116.8
30-Nov-2019,D32a v4/D32as v4,Dav4/Dasv4 Series,US East 2,1.536,1121.28
30-Nov-2017,A1 Low Priority,A Series Basic Windows,AP Southeast,0.0156,11.388
30-Apr-2017,A1 Low Priority,A Series Windows,EU West,0.036,26.279999999999998
