SKU,Region,PerMonth,SubCategory,EffectiveDate
100 Provisioned Throughput RU,EU North,5.84,,09/30/2019 00:00:00
100 Provisioned Throughput RU,AP Southeast,7.592,,09/30/2019 00:00:00
100 Provisioned Throughput RU,EU West,5.84,,09/30/2019 00:00:00
100 Provisioned Throughput RU,US East,5.84,,09/30/2019 00:00:00
100 Provisioned Throughput RU,US East 2,5.84,,09/30/2019 00:00:00
100 Provisioned Throughput RU,US West 2,5.84,,09/30/2019 00:00:00
s,EU North,5.84,,09/30/2019 00:00:00
s,AP Southeast,7.592,,09/30/2019 00:00:00
s,EU West,5.84,,09/30/2019 00:00:00
s,US East,5.84,,09/30/2019 00:00:00
s,US East 2,5.84,,09/30/2019 00:00:00
s,US West 2,5.84,,09/30/2019 00:00:00
Service Runtime,US West 2,292,,09/30/2019 00:00:00
Service Runtime,EU North,292,,09/30/2019 00:00:00
Service Runtime,US East 2,292,,09/30/2019 00:00:00
Service Runtime,AP Southeast,292,,09/30/2019 00:00:00
Service Runtime,EU West,292,,09/30/2019 00:00:00
Service Runtime,US East,292,,09/30/2019 00:00:00
Structured Storage,US East 2,182.5,,09/30/2019 00:00:00
Structured Storage,EU West,182.5,,09/30/2019 00:00:00
Structured Storage,AP Southeast,237.25,,09/30/2019 00:00:00
Structured Storage,US West 2,182.5,,09/30/2019 00:00:00
Structured Storage,US East,182.5,,09/30/2019 00:00:00
Structured Storage,EU North,182.5,,09/30/2019 00:00:00
