SKU,Region,PerMonth,SubCategory,EffectiveDate
B1,US West 2,12.41,Basic Plan - Linux,06/01/2019 00:00:00
B1,EU North,13.139999999999999,Basic Plan - Linux,06/01/2019 00:00:00
B1,US East,12.41,Basic Plan - Linux,06/01/2019 00:00:00
B1,US East 2,12.41,Basic Plan - Linux,06/01/2019 00:00:00
B1,AP Southeast,13.139999999999999,Basic Plan - Linux,06/01/2019 00:00:00
B1,AP East,14.6,Basic Plan - Linux,06/01/2019 00:00:00
B1,US West,13.139999999999999,Basic Plan - Linux,06/01/2019 00:00:00
B1,EU West,13.139999999999999,Basic Plan - Linux,06/01/2019 00:00:00
B2,AP East,28.47,Basic Plan - Linux,06/01/2019 00:00:00
B2,US West 2,24.82,Basic Plan - Linux,06/01/2019 00:00:00
B2,US West,26.279999999999998,Basic Plan - Linux,06/01/2019 00:00:00
B2,US East 2,24.82,Basic Plan - Linux,06/01/2019 00:00:00
B2,US East,24.82,Basic Plan - Linux,06/01/2019 00:00:00
B2,AP Southeast,26.279999999999998,Basic Plan - Linux,06/01/2019 00:00:00
B2,EU West,26.279999999999998,Basic Plan - Linux,06/01/2019 00:00:00
B2,EU North,25.55,Basic Plan - Linux,06/01/2019 00:00:00
B3,US West,51.83,Basic Plan - Linux,06/01/2019 00:00:00
B3,AP East,56.21,Basic Plan - Linux,06/01/2019 00:00:00
B3,EU West,51.83,Basic Plan - Linux,06/01/2019 00:00:00
B3,US West 2,48.910000000000004,Basic Plan - Linux,06/01/2019 00:00:00
B3,AP Southeast,51.83,Basic Plan - Linux,06/01/2019 00:00:00
B3,US East 2,48.910000000000004,Basic Plan - Linux,06/01/2019 00:00:00
B3,EU North,51.1,Basic Plan - Linux,06/01/2019 00:00:00
B3,US East,48.910000000000004,Basic Plan - Linux,06/01/2019 00:00:00
I1,EU North,208.04999999999998,Isolated Plan - Linux,12/01/2018 00:00:00
I1,US East 2,243.09,Isolated Plan - Linux,12/01/2018 00:00:00
I1,EU West,208.04999999999998,Isolated Plan - Linux,12/01/2018 00:00:00
I1,US West 2,208.04999999999998,Isolated Plan - Linux,12/01/2018 00:00:00
I1,US West,277.4,Isolated Plan - Linux,12/01/2018 00:00:00
I1,AP Southeast,208.04999999999998,Isolated Plan - Linux,12/01/2018 00:00:00
I1,AP East,346.75,Isolated Plan - Linux,12/01/2018 00:00:00
I1,US East,208.04999999999998,Isolated Plan - Linux,12/01/2018 00:00:00
I1,AP Southeast,219,Isolated Plan,09/01/2017 00:00:00
I1,US West 2,219,Isolated Plan,09/01/2017 00:00:00
I1,US West,292,Isolated Plan,09/01/2017 00:00:00
I1,AP East,365,Isolated Plan,09/01/2017 00:00:00
I1,EU North,219,Isolated Plan,09/01/2017 00:00:00
I1,EU West,219,Isolated Plan,09/01/2017 00:00:00
I1,US East 2,255.49999999999997,Isolated Plan,09/01/2017 00:00:00
I1,US East,219,Isolated Plan,09/01/2017 00:00:00
I12,AP Southeast,976.01,Isolated Plan - Linux,01/16/2020 00:00:00
I12,AP Southeast,1024.19,Isolated Plan,01/16/2020 00:00:00
I12,AP East,1032.22,Isolated Plan - Linux,01/16/2020 00:00:00
I12,AP East,1080.4,Isolated Plan,01/16/2020 00:00:00
I12,US West 2,963.6,Isolated Plan,12/31/2019 00:00:00
I12,US East 2,915.42,Isolated Plan - Linux,12/31/2019 00:00:00
I12,US East,967.98,Isolated Plan - Linux,12/31/2019 00:00:00
I12,EU North,967.98,Isolated Plan - Linux,12/31/2019 00:00:00
I12,EU West,973.82,Isolated Plan - Linux,12/31/2019 00:00:00
I12,EU North,1016.16,Isolated Plan,12/31/2019 00:00:00
I12,US East 2,963.6,Isolated Plan,12/31/2019 00:00:00
I12,EU West,1021.9999999999999,Isolated Plan,12/31/2019 00:00:00
I12,US West 2,915.42,Isolated Plan - Linux,12/31/2019 00:00:00
I12,US West,1016.16,Isolated Plan,12/31/2019 00:00:00
I12,US West,967.98,Isolated Plan - Linux,12/31/2019 00:00:00
