SKU,SubCategory,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
B1,Basic Plan - Linux,14.6,13.139999999999999,13.139999999999999,13.139999999999999,12.41,12.41,13.139999999999999,12.41
B2,Basic Plan - Linux,28.47,26.279999999999998,25.55,26.279999999999998,24.82,24.82,26.279999999999998,24.82
B3,Basic Plan - Linux,56.21,51.83,51.1,51.83,48.910000000000004,48.910000000000004,51.83,48.910000000000004
I1,Isolated Plan - Linux,346.75,208.04999999999998,208.04999999999998,208.04999999999998,208.04999999999998,243.09,277.4,208.04999999999998
I1,Isolated Plan,365,219,219,219,219,255.49999999999997,292,219
I12,Isolated Plan - Linux,1032.22,976.01,967.98,973.82,967.98,915.42,967.98,915.42
I12,Isolated Plan,1080.4,1024.19,1016.16,1021.9999999999999,1016.16,963.6,1016.16,963.6
I13,Isolated Plan - Linux,2064.44,1952.7499999999998,1935.2299999999998,1948.3700000000001,1935.2299999999998,1830.84,1935.2299999999998,1830.84
I13,Isolated Plan,2160.8,2049.11,2031.59,2044.73,2031.59,1927.2,2031.59,1927.2
I14,Isolated Plan - Linux,4128.150000000001,3905.4999999999995,3870.4599999999996,3896.7400000000002,3870.4599999999996,3661.68,3870.4599999999996,3661.68
I14,Isolated Plan,4320.87,4098.22,4063.18,4089.46,4063.18,3854.4,4063.18,3854.4
I2,Isolated Plan - Linux,693.5,416.09999999999997,416.09999999999997,416.09999999999997,416.09999999999997,486.18,554.8,416.09999999999997
I2,Isolated Plan,730,438,438,438,438,510.99999999999994,584,438
I3,Isolated Plan - Linux,1387,832.1999999999999,832.1999999999999,832.1999999999999,832.1999999999999,972.36,1109.6,832.1999999999999
I3,Isolated Plan,1460,876,876,876,876,1021.9999999999999,1168,876
P1 v2,Premium v2 Plan - Linux,90.52,83.95,81.03,83.95,73.73,73.73,83.95,73.73
P1 v2,Premium v2 Plan,146,146,146,146,146,146,146,146
P2 v2,Premium v2 Plan - Linux,180.31,168.63,161.33,168.63,147.46,147.46,168.63,147.46
P2 v2,Premium v2 Plan,292,292,292,292,292,292,292,292
P3 v2,Premium v2 Plan - Linux,360.62,337.26,322.66,337.26,294.19,294.19,337.26,294.19
P3 v2,Premium v2 Plan,584,584,584,584,584,584,584,584
PC2,Premium Windows Container Plan,170.05058,139.17158,132.30957999999998,139.17158,118.58558000000001,132.30957999999998,139.17158,118.58558000000001
PC3,Premium Windows Container Plan,340.10116,278.34316,264.61915999999997,278.34316,237.17116000000001,264.61915999999997,278.34316,237.17116000000001
PC4,Premium Windows Container Plan,680.20305,556.68705,529.23905,556.68705,474.34304999999995,529.23905,556.68705,474.34304999999995
S1,Standard Plan - Linux,69.35,69.35,69.35,69.35,69.35,69.35,69.35,58.4
S2,Standard Plan - Linux,138.7,138.7,138.7,138.7,138.7,138.7,138.7,116.8
S3,Standard Plan - Linux,277.4,277.4,277.4,277.4,277.4,277.4,277.4,233.6
Stamp Fee,Isolated Plan - Linux,1239.54,1118.3600000000001,1071.6399999999999,1071.6399999999999,991.34,932.2099999999999,1071.6399999999999,924.91
Stamp Fee,Isolated Plan,1304.76404,1177.41919,1128.35954,1128.35954,1043.81021,981.1827799999999,1128.35954,973.0899999999999
