SKU,Region,PerMonth,SubCategory,EffectiveDate
100 Multi-master RU,AP Southeast,11.68,,08/10/2018 00:00:00
100 Multi-master RU,AP East,11.68,,08/10/2018 00:00:00
100 Multi-master RU,US West,11.68,,08/10/2018 00:00:00
100 Multi-master RU,EU West,11.68,,08/10/2018 00:00:00
100 Multi-master RU,EU North,11.68,,08/10/2018 00:00:00
100 RU,EU North,5.84,,02/22/2016 00:00:00
100 RU,AP Southeast,5.84,,02/22/2016 00:00:00
100 RU,EU West,5.84,,02/22/2016 00:00:00
100 RU,US West,5.84,,02/22/2016 00:00:00
100 RU,AP East,5.84,,02/22/2016 00:00:00
1000 RU,US West,1.96224,,05/01/2017 00:00:00
1000 RU,AP East,1.96224,,05/01/2017 00:00:00
1000 RU,EU North,1.96224,,05/01/2017 00:00:00
1000 RU,AP Southeast,1.96224,,05/01/2017 00:00:00
1000 RU,EU West,1.96224,,05/01/2017 00:00:00
256 GiB Disk,US West,36.5,Compute Attached SSD Disk,08/28/2019 00:00:00
256 GiB Disk,AP Southeast,36.5,Compute Attached SSD Disk,08/28/2019 00:00:00
256 GiB Disk,AP East,43.8,Compute Attached SSD Disk,08/28/2019 00:00:00
256 GiB Disk,US West 2,36.5,Compute Attached SSD Disk,08/28/2019 00:00:00
256 GiB Disk,EU West,43.8,Compute Attached SSD Disk,08/28/2019 00:00:00
256 GiB Disk,US East 2,36.5,Compute Attached SSD Disk,08/28/2019 00:00:00
256 GiB Disk,US East,36.5,Compute Attached SSD Disk,08/28/2019 00:00:00
256 GiB Disk,EU North,36.5,Compute Attached SSD Disk,08/28/2019 00:00:00
AP1 - 100 RUs,US West,8.76,Autopilot,12/01/2019 00:00:00
AP1 - 100 RUs,US East 2,8.76,Autopilot,12/01/2019 00:00:00
AP1 - 100 RUs,EU North,8.76,Autopilot,12/01/2019 00:00:00
AP1 - 100 RUs,AP Southeast,8.76,Autopilot,12/01/2019 00:00:00
AP1 - 100 RUs,EU West,8.76,Autopilot,12/01/2019 00:00:00
AP1 - 100 RUs,US East,8.76,Autopilot,12/01/2019 00:00:00
AP1 - 100 RUs,US West 2,8.76,Autopilot,12/01/2019 00:00:00
AP1 - 100 RUs,AP East,8.76,Autopilot,12/01/2019 00:00:00
AP1 - Entry Price,AP Southeast,23.36,Autopilot,09/30/2019 00:00:00
AP1 - Entry Price,US East,23.36,Autopilot,09/30/2019 00:00:00
AP1 - Entry Price,EU West,23.36,Autopilot,09/30/2019 00:00:00
AP1 - Entry Price,US West 2,23.36,Autopilot,09/30/2019 00:00:00
AP1 - Entry Price,US East 2,23.36,Autopilot,09/30/2019 00:00:00
AP1 - Entry Price,US West,23.36,Autopilot,09/30/2019 00:00:00
AP1 - Entry Price,EU North,23.36,Autopilot,09/30/2019 00:00:00
AP1 - Entry Price,AP East,23.36,Autopilot,09/30/2019 00:00:00
AP2 - 100 RUs,US East 2,8.76,Autopilot,12/01/2019 00:00:00
AP2 - 100 RUs,US West 2,8.76,Autopilot,12/01/2019 00:00:00
AP2 - 100 RUs,US East,8.76,Autopilot,12/01/2019 00:00:00
AP2 - 100 RUs,US West,8.76,Autopilot,12/01/2019 00:00:00
AP2 - 100 RUs,EU North,8.76,Autopilot,12/01/2019 00:00:00
AP2 - 100 RUs,AP East,8.76,Autopilot,12/01/2019 00:00:00
