SKU,SubCategory,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
100 Multi-master RU,,11.68,11.68,11.68,11.68,,,11.68,
100 RU,,5.84,5.84,5.84,5.84,,,5.84,
1000 RU,,1.96224,1.96224,1.96224,1.96224,,,1.96224,
256 GiB Disk,Compute Attached SSD Disk,43.8,36.5,36.5,43.8,36.5,36.5,36.5,36.5
AP1 - 100 RUs,Autopilot,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76
AP1 - Entry Price,Autopilot,23.36,23.36,23.36,23.36,23.36,23.36,23.36,23.36
AP2 - 100 RUs,Autopilot,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76
AP2 - Entry Price,Autopilot,116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8
AP3 - 100 RUs,Autopilot,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76
AP3 - Entry Price,Autopilot,292,292,292,292,292,292,292,292
AP4 - 100 RUs,Autopilot,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76
AP4 - Entry Price,Autopilot,584,584,584,584,584,584,584,584
Data Stored,Analytics Storage,21.9,21.9,21.9,14.6,21.9,14.6,21.9,14.6
Data Stored,,182.5,182.5,182.5,182.5,,,182.5,
m,,1.96224,1.96224,1.96224,1.96224,,,1.96224,
Read Operations,Analytics Storage,3.65,3.65,3.65,3.869,3.65,3.65,3.942,3.65
s,,11.68,11.68,11.68,11.68,,,11.68,
S1,,24.82,24.82,24.82,24.82,,,24.82,
S2,,48.910000000000004,48.910000000000004,48.910000000000004,48.910000000000004,,,48.910000000000004,
S3,,97.82000000000001,97.82000000000001,97.82000000000001,97.82000000000001,,,97.82000000000001,
Write Operations,Analytics Storage,36.5,36.5,36.5,39.42,36.5,36.5,40.15,36.5
