SKU,Region,PerMonth,SubCategory,EffectiveDate
16 vCore,US East 2,899.36,Premium Compute,12/31/2018 00:00:00
16 vCore,EU West,1147.56,Premium Compute,12/31/2018 00:00:00
16 vCore,US West,1127.1200000000001,Premium Compute,12/31/2018 00:00:00
16 vCore,AP Southeast,1242.46,Premium Compute,12/31/2018 00:00:00
16 vCore,AP East,1553.44,Premium Compute,12/31/2018 00:00:00
16 vCore,US East,899.36,Premium Compute,12/31/2018 00:00:00
16 vCore,US West 2,899.36,Premium Compute,12/31/2018 00:00:00
16 vCore,EU North,1024.9199999999998,Premium Compute,12/31/2018 00:00:00
4 vCore,EU North,256.22999999999996,Premium Compute,12/31/2018 00:00:00
4 vCore,AP Southeast,310.98,Premium Compute,12/31/2018 00:00:00
4 vCore,US East 2,224.84,Premium Compute,12/31/2018 00:00:00
4 vCore,US West 2,224.84,Premium Compute,12/31/2018 00:00:00
4 vCore,EU West,286.89,Premium Compute,12/31/2018 00:00:00
4 vCore,US East,224.84,Premium Compute,12/31/2018 00:00:00
4 vCore,AP East,388.36,Premium Compute,12/31/2018 00:00:00
4 vCore,US West,281.78000000000003,Premium Compute,12/31/2018 00:00:00
8 vCore,US East,449.68,Premium Compute,12/31/2018 00:00:00
8 vCore,EU North,512.4599999999999,Premium Compute,12/31/2018 00:00:00
8 vCore,AP East,776.72,Premium Compute,12/31/2018 00:00:00
8 vCore,US West 2,449.68,Premium Compute,12/31/2018 00:00:00
8 vCore,US East 2,449.68,Premium Compute,12/31/2018 00:00:00
8 vCore,AP Southeast,621.23,Premium Compute,12/31/2018 00:00:00
8 vCore,US West,563.5600000000001,Premium Compute,12/31/2018 00:00:00
8 vCore,EU West,573.78,Premium Compute,12/31/2018 00:00:00
