SKU,SubCategory,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
2 vCore,Basic - Compute Gen5,94.82699999999998,75.92,53.144000000000005,58.108000000000004,49.64,59.568000000000005,64.53200000000001,49.64
2 vCore,Basic - Compute Gen4,47.6544,37.974599999999995,26.805600000000002,29.2876,24.82,29.784000000000002,32.266000000000005,24.82
Data Stored,Basic - Storage,100.74000000000001,80.3,80.3,86.86999999999999,73,87.6,80.3,73
Data Stored,General Purpose - Storage,125.925,100.74000000000001,92.345,99.937,83.95,100.74000000000001,100.74000000000001,83.95
Data Stored,General Purpose - Large-Scale Storage,62.999,50.370000000000005,46.208999999999996,50.005,41.975,50.370000000000005,50.370000000000005,41.975
Data Stored,Perf Optimized Storage,125.925,100.74000000000001,100.74000000000001,108.77,91.25,100.37500000000001,100.74000000000001,91.25
GRS Data Stored,Backup Storage,219,175.2,160.6,173.73999999999998,146,175.2,175.2,146
IO Rate Operations,Basic - Storage,100.74000000000001,80.3,80.3,86.86999999999999,73,87.6,80.3,73
LRS Data Stored,Backup Storage,109.5,87.6,80.3,86.86999999999999,73,87.6,87.6,73
vCore,Basic - Compute Gen5,47.377,37.96,26.572000000000003,29.054000000000002,24.82,29.784000000000002,32.266000000000005,24.82
vCore,Memory Optimized - Compute Gen5,129.356,103.51400000000001,95.703,104.317,86.213,103.51400000000001,95.703,86.213
vCore,General Purpose - Compute Gen5,118.26,94.60799999999999,70.29899999999999,76.066,63.948,76.723,74.75200000000001,63.948
vCore,Basic - Compute Gen4,23.7031,18.987299999999998,13.402800000000001,14.6438,12.41,14.892000000000001,16.133000000000003,12.41
vCore,General Purpose - Compute Gen4,59.151900000000005,47.32152000000001,35.1714,38.049060000000004,31.974,38.3688,37.40958,31.974
vCore,Memory Optimized - Compute Gen4,64.678,51.757000000000005,47.8515,52.1585,43.1065,51.757000000000005,47.8515,43.1065
