SKU,Region,PerMonth,SubCategory,EffectiveDate
2 vCore,US East,49.64,Basic - Compute Gen4,06/07/2018 00:00:00
2 vCore,US East 2,59.568000000000005,Basic - Compute Gen4,05/01/2018 00:00:00
2 vCore,EU West,58.108000000000004,Basic - Compute Gen5,05/01/2018 00:00:00
2 vCore,AP East,94.82699999999998,Basic - Compute Gen4,05/01/2018 00:00:00
2 vCore,US West,64.53200000000001,Basic - Compute Gen4,05/01/2018 00:00:00
2 vCore,AP Southeast,75.92,Basic - Compute Gen5,05/01/2018 00:00:00
2 vCore,US West 2,49.64,Basic - Compute Gen5,05/01/2018 00:00:00
2 vCore,US West,64.53200000000001,Basic - Compute Gen5,05/01/2018 00:00:00
2 vCore,EU North,53.144000000000005,Basic - Compute Gen5,05/01/2018 00:00:00
2 vCore,EU West,58.108000000000004,Basic - Compute Gen4,05/01/2018 00:00:00
2 vCore,US East 2,59.568000000000005,Basic - Compute Gen5,05/01/2018 00:00:00
2 vCore,US East,49.64,Basic - Compute Gen5,05/01/2018 00:00:00
2 vCore,AP East,94.82699999999998,Basic - Compute Gen5,05/01/2018 00:00:00
2 vCore,AP Southeast,75.92,Basic - Compute Gen4,05/01/2018 00:00:00
2 vCore,EU North,53.144000000000005,Basic - Compute Gen4,05/01/2018 00:00:00
Data Stored,EU West,50.005,General Purpose - Large-Scale Storage,12/14/2018 00:00:00
Data Stored,US East,41.975,General Purpose - Large-Scale Storage,12/14/2018 00:00:00
Data Stored,AP East,62.999,General Purpose - Large-Scale Storage,12/14/2018 00:00:00
Data Stored,US West,50.370000000000005,General Purpose - Large-Scale Storage,12/14/2018 00:00:00
Data Stored,US West 2,41.975,General Purpose - Large-Scale Storage,12/14/2018 00:00:00
Data Stored,AP Southeast,50.370000000000005,General Purpose - Large-Scale Storage,12/14/2018 00:00:00
Data Stored,EU North,46.208999999999996,General Purpose - Large-Scale Storage,12/14/2018 00:00:00
Data Stored,US East 2,50.370000000000005,General Purpose - Large-Scale Storage,12/14/2018 00:00:00
Data Stored,EU West,217.54,Memory Optimized - Storage,05/01/2018 00:00:00
Data Stored,EU North,92.345,General Purpose - Storage,05/01/2018 00:00:00
Data Stored,AP Southeast,201.48000000000002,Memory Optimized - Storage,05/01/2018 00:00:00
Data Stored,US East,73,Basic - Storage,05/01/2018 00:00:00
Data Stored,US East 2,100.74000000000001,General Purpose - Storage,05/01/2018 00:00:00
Data Stored,EU North,80.3,Basic - Storage,05/01/2018 00:00:00
Data Stored,US West 2,73,Basic - Storage,05/01/2018 00:00:00
Data Stored,US West,100.74000000000001,General Purpose - Storage,05/01/2018 00:00:00
Data Stored,US East,182.5,Memory Optimized - Storage,05/01/2018 00:00:00
Data Stored,US West,201.48000000000002,Memory Optimized - Storage,05/01/2018 00:00:00
Data Stored,AP East,125.925,General Purpose - Storage,05/01/2018 00:00:00
Data Stored,US West 2,182.5,Memory Optimized - Storage,05/01/2018 00:00:00
Data Stored,EU West,86.86999999999999,Basic - Storage,05/01/2018 00:00:00
Data Stored,EU North,201.48000000000002,Memory Optimized - Storage,05/01/2018 00:00:00
Data Stored,US West 2,83.95,General Purpose - Storage,05/01/2018 00:00:00
Data Stored,EU West,99.937,General Purpose - Storage,05/01/2018 00:00:00
Data Stored,AP Southeast,80.3,Basic - Storage,05/01/2018 00:00:00
Data Stored,US East 2,200.75000000000003,Memory Optimized - Storage,05/01/2018 00:00:00
Data Stored,US East 2,87.6,Basic - Storage,05/01/2018 00:00:00
Data Stored,AP Southeast,100.74000000000001,General Purpose - Storage,05/01/2018 00:00:00
Data Stored,US West,80.3,Basic - Storage,05/01/2018 00:00:00
Data Stored,AP East,100.74000000000001,Basic - Storage,05/01/2018 00:00:00
Data Stored,US East,83.95,General Purpose - Storage,05/01/2018 00:00:00
Data Stored,AP East,251.85,Memory Optimized - Storage,05/01/2018 00:00:00
GRS Data Stored,EU West,173.73999999999998,Backup Storage,05/01/2018 00:00:00
GRS Data Stored,US West 2,146,Backup Storage,05/01/2018 00:00:00
GRS Data Stored,US East,146,Backup Storage,05/01/2018 00:00:00
GRS Data Stored,US West,175.2,Backup Storage,05/01/2018 00:00:00
GRS Data Stored,US East 2,175.2,Backup Storage,05/01/2018 00:00:00
GRS Data Stored,EU North,160.6,Backup Storage,05/01/2018 00:00:00
GRS Data Stored,AP East,219,Backup Storage,05/01/2018 00:00:00
GRS Data Stored,AP Southeast,175.2,Backup Storage,05/01/2018 00:00:00
IO Rate Operations,AP East,100.74000000000001,Basic - Storage,05/01/2018 00:00:00
IO Rate Operations,AP Southeast,80.3,Basic - Storage,05/01/2018 00:00:00
IO Rate Operations,US East,73,Basic - Storage,05/01/2018 00:00:00
IO Rate Operations,EU West,86.86999999999999,Basic - Storage,05/01/2018 00:00:00
IO Rate Operations,US West,80.3,Basic - Storage,05/01/2018 00:00:00
IO Rate Operations,US West 2,73,Basic - Storage,05/01/2018 00:00:00
IO Rate Operations,US East 2,87.6,Basic - Storage,05/01/2018 00:00:00
IO Rate Operations,EU North,80.3,Basic - Storage,05/01/2018 00:00:00
IO Rate Operations,US West 2,73,Memory Optimized - Storage,10/03/2017 00:00:00
IO Rate Operations,EU North,80.3,Memory Optimized - Storage,10/03/2017 00:00:00
IO Rate Operations,AP Southeast,80.3,Memory Optimized - Storage,10/03/2017 00:00:00
IO Rate Operations,AP East,100.37500000000001,Memory Optimized - Storage,10/03/2017 00:00:00
IO Rate Operations,US East,73,Memory Optimized - Storage,10/03/2017 00:00:00
IO Rate Operations,US East 2,80.3,Memory Optimized - Storage,10/03/2017 00:00:00
IO Rate Operations,US West,80.3,Memory Optimized - Storage,10/03/2017 00:00:00
IO Rate Operations,EU West,80.3,Memory Optimized - Storage,10/03/2017 00:00:00
LRS Data Stored,US West 2,73,Backup Storage,05/01/2018 00:00:00
LRS Data Stored,US East 2,87.6,Backup Storage,05/01/2018 00:00:00
LRS Data Stored,US West,87.6,Backup Storage,05/01/2018 00:00:00
LRS Data Stored,US East,73,Backup Storage,05/01/2018 00:00:00
LRS Data Stored,AP Southeast,87.6,Backup Storage,05/01/2018 00:00:00
LRS Data Stored,EU North,80.3,Backup Storage,05/01/2018 00:00:00
LRS Data Stored,EU West,86.86999999999999,Backup Storage,05/01/2018 00:00:00
LRS Data Stored,AP East,109.5,Backup Storage,05/01/2018 00:00:00
Read Replica vCore,AP Southeast,47.2675,General Purpose - Compute Gen5,10/03/2017 00:00:00
Read Replica vCore,US East,87.6,Memory And Storage Optimized - Compute Gen5,10/03/2017 00:00:00
Read Replica vCore,AP East,59.08474,General Purpose - Compute Gen5,10/03/2017 00:00:00
Read Replica vCore,EU West,52.925,Memory Optimized - Compute Gen5,10/03/2017 00:00:00
Read Replica vCore,US West 2,43.8,Memory Optimized - Compute Gen5,10/03/2017 00:00:00
Read Replica vCore,AP East,118.16874999999999,Storage Optimized - Compute Gen5,10/03/2017 00:00:00
Read Replica vCore,US East,63.87499999999999,Storage Optimized - Compute Gen5,10/03/2017 00:00:00
Read Replica vCore,US West,74.46,Storage Optimized - Compute Gen5,10/03/2017 00:00:00
Read Replica vCore,US East 2,48.18,Memory Optimized - Compute Gen5,10/03/2017 00:00:00
Read Replica vCore,EU North,35.222500000000004,General Purpose - Compute Gen4,10/03/2017 00:00:00
Read Replica vCore,US West,48.362500000000004,Memory Optimized - Compute Gen5,10/03/2017 00:00:00
