SKU,SubCategory,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
2 vCore,Basic - Compute Gen5,94.82699999999998,75.92,53.144000000000005,58.108000000000004,49.64,59.568000000000005,64.53200000000001,49.64
2 vCore,Basic - Compute Gen4,94.82699999999998,75.92,53.144000000000005,58.108000000000004,49.64,59.568000000000005,64.53200000000001,
Data Stored,Hyperscale (Citus) General Purpose Storage,126.28999999999999,100.74000000000001,92.71000000000001,100.01,83.95,100.74000000000001,100.74000000000001,83.95
Data Stored,Hyperscale (Citus) High Performance Storage,,57.597,53.29,57.597,44.603,44.603,,44.603
Data Stored,General Purpose - Large-Scale Storage,62.999,50.370000000000005,46.208999999999996,50.005,41.975,50.370000000000005,50.370000000000005,41.975
Data Stored,Basic - Storage,100.74000000000001,80.3,80.3,86.86999999999999,73,87.6,80.3,73
Data Stored,General Purpose - Storage,125.925,100.74000000000001,92.345,99.937,83.95,100.74000000000001,100.74000000000001,83.95
Data Stored,Memory Optimized - Storage,251.85,201.48000000000002,201.48000000000002,217.54,182.5,200.75000000000003,201.48000000000002,182.5
GRS Data Stored,Hyperscale (Citus) Backup Storage,219,175.2,160.6,173.73999999999998,146,175.2,175.2,146
GRS Data Stored,Backup Storage,219,175.2,160.6,173.73999999999998,146,175.2,175.2,146
IO Rate Operations,Basic - Storage,100.74000000000001,80.3,80.3,86.86999999999999,73,87.6,80.3,73
IO Rate Operations,Memory Optimized - Storage,100.37500000000001,80.3,80.3,80.3,73,80.3,80.3,73
LRS Data Stored,Hyperscale (Citus) Backup Storage,109.5,87.6,80.3,86.86999999999999,73,87.6,87.6,73
LRS Data Stored,Backup Storage,109.5,87.6,80.3,86.86999999999999,73,87.6,87.6,73
Provisioned IOPS,Hyperscale (Citus) High Performance Storage,,23.944000000000003,21.754,23.944000000000003,18.469,18.469,,18.469
Provisioned Throughput (MBps),Hyperscale (Citus) High Performance Storage,,483.26000000000005,446.76,483.26000000000005,372.3,372.3,,372.3
Read Replica vCore,Basic - Compute Gen5,23.725,18.98,13.139999999999999,14.6,12.41,13.651000000000002,16.06,12.41
Read Replica vCore,Memory Optimized - Compute Gen5,65.01599,52.012499999999996,48.362500000000004,52.925,43.8,48.18,48.362500000000004,43.8
Read Replica vCore,General Purpose - Compute Gen4,59.08474,47.2675,35.222500000000004,37.96,31.937499999999996,35.13125,37.23,31.937499999999996
Read Replica vCore,Memory And Storage Optimized - Compute Gen5,130.03125,104.02499999999999,96.72500000000001,104.93749999999999,87.6,96.36,96.72500000000001,87.6
Read Replica vCore,Basic - Compute Gen4,23.725,18.98,13.139999999999999,14.6,12.41,13.651000000000002,16.06,12.41
Read Replica vCore,Storage Optimized - Compute Gen5,118.16874999999999,94.535,70.44500000000001,75.92,63.87499999999999,70.2625,74.46,63.87499999999999
Read Replica vCore,General Purpose - Compute Gen5,59.08474,47.2675,35.222500000000004,37.96,31.937499999999996,35.13125,37.23,31.937499999999996
vCore,Hyperscale (Citus) Compute - Coordinator Node,144.75243,121.10043,96.79142999999999,102.55843,90.44043,103.21543,101.24443000000001,90.44043
vCore,Hyperscale (Citus) Compute - Worker Node,155.84842999999998,130.00643,122.19543,130.80943,112.70543,130.00643,122.19543,112.70543
vCore,General Purpose - Compute Gen4,118.26,94.60799999999999,70.29899999999999,76.066,63.948,76.723,74.75200000000001,
vCore,Memory Optimized - Compute Gen5,129.356,103.51400000000001,95.703,104.317,86.213,103.51400000000001,95.703,86.213
vCore,Basic - Compute Gen4,47.377,37.96,26.572000000000003,29.054000000000002,24.82,29.784000000000002,32.266000000000005,
vCore,General Purpose - Compute Gen5,118.26,94.60799999999999,70.29899999999999,76.066,63.948,76.723,74.75200000000001,63.948
vCore,Basic - Compute Gen5,47.377,37.96,26.572000000000003,29.054000000000002,24.82,29.784000000000002,32.266000000000005,24.82
vCore,Storage Optimized - Compute Gen5,118.16874999999999,94.535,70.44500000000001,75.92,63.87499999999999,70.2625,74.46,63.87499999999999
vCore,Memory And Storage Optimized - Compute Gen5,130.03125,104.02499999999999,96.72500000000001,104.93749999999999,87.6,96.36,96.72500000000001,87.6
