SKU,Region,PerMonth,SubCategory,EffectiveDate
100 GB Capacity Reservation,EU West,184573.2,,08/28/2019 00:00:00
100 GB Capacity Reservation,EU North,171696,,08/28/2019 00:00:00
100 GB Capacity Reservation,US West,160249.6,,08/28/2019 00:00:00
100 GB Capacity Reservation,US East 2,143080,,08/28/2019 00:00:00
100 GB Capacity Reservation,AP Southeast,186004,,08/28/2019 00:00:00
100 GB Capacity Reservation,US East,143080,,08/28/2019 00:00:00
100 GB Capacity Reservation,AP East,221774,,08/28/2019 00:00:00
100 GB Capacity Reservation,US West 2,143080,,08/28/2019 00:00:00
200 GB Capacity Reservation,US West 2,268640,,08/28/2019 00:00:00
200 GB Capacity Reservation,US East 2,268640,,08/28/2019 00:00:00
200 GB Capacity Reservation,US East,268640,,08/28/2019 00:00:00
200 GB Capacity Reservation,US West,300876.80000000005,,08/28/2019 00:00:00
200 GB Capacity Reservation,AP East,416392,,08/28/2019 00:00:00
200 GB Capacity Reservation,EU North,322368,,08/28/2019 00:00:00
200 GB Capacity Reservation,AP Southeast,349232,,08/28/2019 00:00:00
200 GB Capacity Reservation,EU West,346545.60000000003,,08/28/2019 00:00:00
300 GB Capacity Reservation,US East 2,394200,,08/28/2019 00:00:00
300 GB Capacity Reservation,US West 2,394200,,08/28/2019 00:00:00
300 GB Capacity Reservation,AP Southeast,512460,,08/28/2019 00:00:00
300 GB Capacity Reservation,EU North,473040,,08/28/2019 00:00:00
300 GB Capacity Reservation,US West,441503.99999999994,,08/28/2019 00:00:00
300 GB Capacity Reservation,EU West,508518,,08/28/2019 00:00:00
300 GB Capacity Reservation,AP East,611010,,08/28/2019 00:00:00
300 GB Capacity Reservation,US East,394200,,08/28/2019 00:00:00
400 GB Capacity Reservation,US West,575590.4,,08/28/2019 00:00:00
400 GB Capacity Reservation,US East,513920,,08/28/2019 00:00:00
400 GB Capacity Reservation,US West 2,513920,,08/28/2019 00:00:00
400 GB Capacity Reservation,AP East,796576,,08/28/2019 00:00:00
400 GB Capacity Reservation,EU West,662956.7999999999,,08/28/2019 00:00:00
400 GB Capacity Reservation,EU North,616704,,08/28/2019 00:00:00
400 GB Capacity Reservation,AP Southeast,668096,,08/28/2019 00:00:00
400 GB Capacity Reservation,US East 2,513920,,08/28/2019 00:00:00
500 GB Capacity Reservation,AP East,978747.5,,08/28/2019 00:00:00
500 GB Capacity Reservation,US West 2,631450,,08/28/2019 00:00:00
500 GB Capacity Reservation,US East 2,631450,,08/28/2019 00:00:00
500 GB Capacity Reservation,EU West,814570.4999999999,,08/28/2019 00:00:00
500 GB Capacity Reservation,AP Southeast,820885,,08/28/2019 00:00:00
500 GB Capacity Reservation,US West,707224,,08/28/2019 00:00:00
500 GB Capacity Reservation,US East,631450,,08/28/2019 00:00:00
500 GB Capacity Reservation,EU North,757740,,08/28/2019 00:00:00
