SKU,Region,PerMonth,SubCategory,EffectiveDate
A0,US West 2,14.6,A Series,03/01/2016 00:00:00
A0,AP Southeast,14.6,A Series,12/01/2013 00:00:00
A0,US East 2,14.6,A Series,12/01/2013 00:00:00
A0,EU North,14.6,A Series,12/01/2013 00:00:00
A0,AP East,14.6,A Series,12/01/2013 00:00:00
A0,US East,14.6,A Series,12/01/2013 00:00:00
A0,EU West,14.6,A Series,12/01/2013 00:00:00
A0,US West,14.6,A Series,12/01/2013 00:00:00
A1,US West 2,58.4,A Series,03/01/2020 00:00:00
A1,EU West,58.4,A Series,12/01/2013 00:00:00
A1,AP Southeast,58.4,A Series,12/01/2013 00:00:00
A1,US East,58.4,A Series,12/01/2013 00:00:00
A1,US East 2,58.4,A Series,12/01/2013 00:00:00
A1,US West,58.4,A Series,12/01/2013 00:00:00
A1,AP East,58.4,A Series,12/01/2013 00:00:00
A1,EU North,58.4,A Series,12/01/2013 00:00:00
A1 v2,US West 2,39.42,Av2 Series,12/01/2016 00:00:00
A1 v2,AP East,55.48,Av2 Series,12/01/2016 00:00:00
A1 v2,US East 2,47.45,Av2 Series,12/01/2016 00:00:00
A1 v2,AP Southeast,49.64,Av2 Series,12/01/2016 00:00:00
A1 v2,US East,47.45,Av2 Series,12/01/2016 00:00:00
A1 v2,EU West,45.26,Av2 Series,12/01/2016 00:00:00
A1 v2,EU North,45.26,Av2 Series,12/01/2016 00:00:00
A1 v2,US West,47.45,Av2 Series,12/01/2016 00:00:00
A10,EU West,906.66,A Series,09/01/2015 00:00:00
A10,US West,856.2900000000001,A Series,09/01/2015 00:00:00
A10,EU North,788.4000000000001,A Series,09/01/2015 00:00:00
A10,US East,856.2900000000001,A Series,09/01/2015 00:00:00
A11,EU West,1813.32,A Series,09/01/2015 00:00:00
A11,EU North,1576.8000000000002,A Series,09/01/2015 00:00:00
A11,US West,1712.5800000000002,A Series,09/01/2015 00:00:00
A11,US East,1712.5800000000002,A Series,09/01/2015 00:00:00
A2,US West 2,116.8,A Series,03/01/2020 00:00:00
A2,AP Southeast,116.8,A Series,12/01/2014 00:00:00
A2,US East 2,116.8,A Series,12/01/2014 00:00:00
A2,EU West,116.8,A Series,12/01/2014 00:00:00
A2,EU North,116.8,A Series,12/01/2014 00:00:00
A2,US West,116.8,A Series,12/01/2014 00:00:00
A2,AP East,116.8,A Series,12/01/2014 00:00:00
A2,US East,116.8,A Series,12/01/2014 00:00:00
A2 v2,EU North,94.9,Av2 Series,12/01/2016 00:00:00
A2 v2,US East 2,99.28,Av2 Series,12/01/2016 00:00:00
A2 v2,US East,99.28,Av2 Series,12/01/2016 00:00:00
A2 v2,US West 2,82.49000000000001,Av2 Series,12/01/2016 00:00:00
A2 v2,AP Southeast,103.66,Av2 Series,12/01/2016 00:00:00
A2 v2,EU West,94.9,Av2 Series,12/01/2016 00:00:00
A2 v2,AP East,116.07000000000001,Av2 Series,12/01/2016 00:00:00
A2 v2,US West,99.28,Av2 Series,12/01/2016 00:00:00
A2m v2,AP Southeast,148.19,Av2 Series,12/01/2016 00:00:00
A2m v2,US East 2,131.4,Av2 Series,12/01/2016 00:00:00
A2m v2,US West 2,109.5,Av2 Series,12/01/2016 00:00:00
A2m v2,EU North,153.29999999999998,Av2 Series,12/01/2016 00:00:00
A2m v2,US West,164.25,Av2 Series,12/01/2016 00:00:00
A2m v2,AP East,197.10000000000002,Av2 Series,12/01/2016 00:00:00
A2m v2,US East,131.4,Av2 Series,12/01/2016 00:00:00
A2m v2,EU West,137.24,Av2 Series,12/01/2016 00:00:00
A3,US West 2,233.6,A Series,03/01/2020 00:00:00
A3,EU North,233.6,A Series,12/01/2014 00:00:00
A3,AP East,233.6,A Series,12/01/2014 00:00:00
A3,US East,233.6,A Series,12/01/2014 00:00:00
A3,AP Southeast,233.6,A Series,12/01/2014 00:00:00
A3,EU West,233.6,A Series,12/01/2014 00:00:00
A3,US West,233.6,A Series,12/01/2014 00:00:00
A3,US East 2,233.6,A Series,12/01/2014 00:00:00
A4,US West 2,467.2,A Series,03/01/2020 00:00:00
A4,EU West,467.2,A Series,12/01/2014 00:00:00
A4,AP Southeast,467.2,A Series,12/01/2014 00:00:00
A4,US East 2,467.2,A Series,12/01/2014 00:00:00
A4,US East,467.2,A Series,12/01/2014 00:00:00
A4,US West,467.2,A Series,12/01/2014 00:00:00
A4,EU North,467.2,A Series,12/01/2014 00:00:00
A4,AP East,467.2,A Series,12/01/2014 00:00:00
A4 v2,EU North,200.02,Av2 Series,12/01/2016 00:00:00
