SKU,Region,PerMonth,SubCategory,EffectiveDate
K80 vGPU Duration,US East,7.3,GPU,11/26/2018 00:00:00
K80 vGPU Duration,EU West,9.49,GPU,11/26/2018 00:00:00
K80 vGPU Duration,US West 2,7.3,GPU,11/26/2018 00:00:00
K80 vGPU Duration,AP Southeast,9.49,GPU,11/26/2018 00:00:00
K80 vGPU Duration,EU North,8.76,GPU,11/26/2018 00:00:00
Memory Duration,US East 2,3.2485,,01/25/2019 00:00:00
Memory Duration,AP East,5.0297,,01/25/2019 00:00:00
Memory Duration,EU North,3.2485,,01/25/2019 00:00:00
Memory Duration,EU West,3.7303,,01/25/2019 00:00:00
Memory Duration,US West 2,3.2485,,01/25/2019 00:00:00
Memory Duration,AP Southeast,4.0369,,01/25/2019 00:00:00
Memory Duration,US West,3.7303,,01/25/2019 00:00:00
Memory Duration,US East,3.2485,,01/25/2019 00:00:00
Memory Duration,EU North,0.10366,GPU,11/26/2018 00:00:00
Memory Duration,US West 2,0.08614,GPU,11/26/2018 00:00:00
Memory Duration,AP Southeast,0.11242,GPU,11/26/2018 00:00:00
Memory Duration,US East,0.08614,GPU,11/26/2018 00:00:00
Memory Duration,EU West,0.11242,GPU,11/26/2018 00:00:00
P100 vGPU Duration,EU West,23.141,GPU,11/26/2018 00:00:00
P100 vGPU Duration,US West 2,17.812,GPU,11/26/2018 00:00:00
P100 vGPU Duration,US East,17.812,GPU,11/26/2018 00:00:00
P100 vGPU Duration,EU North,21.389,GPU,11/26/2018 00:00:00
P100 vGPU Duration,AP Southeast,23.141,GPU,11/26/2018 00:00:00
V100 vGPU Duration,EU West,75.19,GPU,11/26/2018 00:00:00
V100 vGPU Duration,EU North,69.49600000000001,GPU,11/26/2018 00:00:00
V100 vGPU Duration,US East,57.888999999999996,GPU,11/26/2018 00:00:00
V100 vGPU Duration,AP Southeast,75.19,GPU,11/26/2018 00:00:00
V100 vGPU Duration,US West 2,57.888999999999996,GPU,11/26/2018 00:00:00
vCPU Duration,EU North,29.565,,01/25/2019 00:00:00
vCPU Duration,US East,29.565,,01/25/2019 00:00:00
vCPU Duration,AP East,44.675999999999995,,01/25/2019 00:00:00
vCPU Duration,EU West,34.018,,01/25/2019 00:00:00
vCPU Duration,US East 2,29.565,,01/25/2019 00:00:00
vCPU Duration,US West,34.018,,01/25/2019 00:00:00
vCPU Duration,AP Southeast,36.938,,01/25/2019 00:00:00
vCPU Duration,US West 2,29.565,,01/25/2019 00:00:00
vCPU Duration,US East,0.64167,GPU,11/26/2018 00:00:00
vCPU Duration,EU West,0.8395,GPU,11/26/2018 00:00:00
vCPU Duration,EU North,0.7737999999999999,GPU,11/26/2018 00:00:00
vCPU Duration,US West 2,0.64167,GPU,11/26/2018 00:00:00
vCPU Duration,AP Southeast,0.8395,GPU,11/26/2018 00:00:00
