SKU,Region,PerMonth,SubCategory,EffectiveDate
Device Standard Shipping,AP Southeast,29200,Disk,02/11/2019 00:00:00
Device Standard Shipping,AP Southeast,82490,,11/01/2018 00:00:00
Device Standard Shipping,US West,21900,Disk,10/11/2018 00:00:00
Device Standard Shipping,US West 2,21900,Disk,10/11/2018 00:00:00
Device Standard Shipping,US East 2,1095000,Heavy,10/11/2018 00:00:00
Device Standard Shipping,EU North,25550,Disk,10/11/2018 00:00:00
Device Standard Shipping,EU North,1288450,Heavy,10/11/2018 00:00:00
Device Standard Shipping,EU West,1288450,Heavy,10/11/2018 00:00:00
Device Standard Shipping,US West 2,1095000,Heavy,10/11/2018 00:00:00
Device Standard Shipping,US East,1095000,Heavy,10/11/2018 00:00:00
Device Standard Shipping,EU West,25550,Disk,10/11/2018 00:00:00
Device Standard Shipping,US West,1095000,Heavy,10/11/2018 00:00:00
Device Standard Shipping,US East,21900,Disk,10/11/2018 00:00:00
Device Standard Shipping,US East 2,21900,Disk,10/11/2018 00:00:00
Device Standard Shipping,EU West,82490,,11/17/2017 00:00:00
Device Standard Shipping,US East 2,69350,,11/17/2017 00:00:00
Device Standard Shipping,US West,69350,,11/17/2017 00:00:00
Device Standard Shipping,US West 2,69350,,11/17/2017 00:00:00
Device Standard Shipping,US East,69350,,11/17/2017 00:00:00
Device Standard Shipping,EU North,82490,,11/17/2017 00:00:00
