SKU,SubCategory,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
100 AU Pre-pay,,,,,2701,,,,
1000 AU Pre-pay,,,,,21191.9,,,,
10000 AU Overage Analytics Units,,,,,547.48759,,,,
10000 AU Pre-pay,,,,,176608.9,,,,
100000 AU Overage Analytics Units,,,,,438,,,,
100000 AU Pre-pay,,,,,1412900.4,,,,
500 AU Pre-pay,,,,,11767.6,,,,
5000 AU Pre-pay,,,,,98900.4,,,,
50000 AU Overage Analytics Units,,,,,489.1,,,,
50000 AU Pre-pay,,,,,788867.2000000001,,,,
500000 AU Overage Analytics Units,,,,,394.20000000000005,,,,
500000 AU Pre-pay,,,,,6334531.2,,,,
Pay-as-you-go Analytics Units,,,1657.1,,,,,,
