SKU,Region,PerMonth,SubCategory,EffectiveDate
Dedicated Capacity Unit,US West 2,4999.77,,04/17/2019 00:00:00
Dedicated Capacity Unit,US West,4999.77,,04/17/2019 00:00:00
Dedicated Capacity Unit,EU West,4999.77,,04/17/2019 00:00:00
Dedicated Capacity Unit,AP Southeast,5840.73,,04/17/2019 00:00:00
Dedicated Capacity Unit,AP East,6540.8,,04/17/2019 00:00:00
Dedicated Capacity Unit,EU North,5560.41,,04/17/2019 00:00:00
Dedicated Capacity Unit,US East,4999.77,,04/17/2019 00:00:00
Dedicated Capacity Unit,US East 2,4999.77,,04/17/2019 00:00:00
Extended Retention,AP East,113.15,,01/25/2019 00:00:00
Extended Retention,US West,94.9,,01/25/2019 00:00:00
Extended Retention,EU West,94.9,,01/25/2019 00:00:00
Extended Retention,AP Southeast,94.9,,01/25/2019 00:00:00
Extended Retention,EU North,87.6,,01/25/2019 00:00:00
Extended Retention,US East 2,73,,01/25/2019 00:00:00
Extended Retention,US East,73,,01/25/2019 00:00:00
Extended Retention,US West 2,73,,01/25/2019 00:00:00
