SKU,Region,PerMonth,SubCategory,EffectiveDate
Memory Duration,US East 2,8.322000000000001,Premium,11/11/2019 00:00:00
Memory Duration,US West 2,8.322000000000001,Premium,11/11/2019 00:00:00
Memory Duration,EU North,8.687000000000001,Premium,11/11/2019 00:00:00
Memory Duration,AP East,10.439,Premium,11/11/2019 00:00:00
Memory Duration,EU West,8.833,Premium,11/11/2019 00:00:00
Memory Duration,AP Southeast,9.270999999999999,Premium,11/11/2019 00:00:00
Memory Duration,US East,8.979000000000001,Premium,11/11/2019 00:00:00
Memory Duration,US West,8.906,Premium,11/11/2019 00:00:00
vCPU Duration,US East 2,116.8,Premium,11/11/2019 00:00:00
vCPU Duration,AP Southeast,129.94,Premium,11/11/2019 00:00:00
vCPU Duration,EU West,123.37,Premium,11/11/2019 00:00:00
vCPU Duration,US East,126.28999999999999,Premium,11/11/2019 00:00:00
vCPU Duration,AP East,146,Premium,11/11/2019 00:00:00
vCPU Duration,EU North,121.91000000000001,Premium,11/11/2019 00:00:00
vCPU Duration,US West 2,116.8,Premium,11/11/2019 00:00:00
vCPU Duration,US West,124.10000000000001,Premium,11/11/2019 00:00:00
