SKU,Region,PerMonth,SubCategory,EffectiveDate
A1 v2,EU West,42.34,Av2 Series,07/20/2018 00:00:00
A1 v2,US East 2,43.8,Av2 Series,07/20/2018 00:00:00
A1 v2,US West 2,38.69,Av2 Series,07/20/2018 00:00:00
A1 v2,US East,43.8,Av2 Series,07/20/2018 00:00:00
A1 v2,EU North,42.34,Av2 Series,07/20/2018 00:00:00
A1 v2,AP East,48.910000000000004,Av2 Series,07/20/2018 00:00:00
A1 v2,AP Southeast,45.26,Av2 Series,07/20/2018 00:00:00
A1 v2,US West,43.8,Av2 Series,07/20/2018 00:00:00
A2,AP Southeast,111.69,A Series,01/01/2018 00:00:00
A2,AP East,111.69,A Series,01/01/2018 00:00:00
A2,AP East,116.8,A Series Windows,05/01/2015 00:00:00
A2,AP Southeast,116.8,A Series Windows,05/01/2015 00:00:00
A2 v2,US East,138.7,ID Broker,09/30/2019 00:00:00
A2 v2,EU North,134.32,ID Broker,09/30/2019 00:00:00
A2 v2,US West 2,121.91000000000001,ID Broker,09/30/2019 00:00:00
A2 v2,AP Southeast,143.08,ID Broker,09/30/2019 00:00:00
A2 v2,AP East,155.49,ID Broker,09/30/2019 00:00:00
A2 v2,US East 2,138.7,ID Broker,09/30/2019 00:00:00
A2 v2,EU West,134.32,ID Broker,09/30/2019 00:00:00
A2 v2,US West,138.7,ID Broker,09/30/2019 00:00:00
A2 v2,AP East,102.2,Av2 Series,07/20/2018 00:00:00
A2 v2,US East,91.25,Av2 Series,07/20/2018 00:00:00
A2 v2,US West 2,80.3,Av2 Series,07/20/2018 00:00:00
A2 v2,AP Southeast,94.17,Av2 Series,07/20/2018 00:00:00
A2 v2,US West,91.25,Av2 Series,07/20/2018 00:00:00
A2 v2,EU North,88.33,Av2 Series,07/20/2018 00:00:00
A2 v2,EU West,88.33,Av2 Series,07/20/2018 00:00:00
A2 v2,US East 2,91.25,Av2 Series,07/20/2018 00:00:00
A2m v2,EU West,115.34,Av2 Series,07/20/2018 00:00:00
A2m v2,US East,111.69,Av2 Series,07/20/2018 00:00:00
A2m v2,AP Southeast,122.64,Av2 Series,07/20/2018 00:00:00
A2m v2,US East 2,111.69,Av2 Series,07/20/2018 00:00:00
A2m v2,AP East,154.76,Av2 Series,07/20/2018 00:00:00
A2m v2,US West 2,97.09,Av2 Series,07/20/2018 00:00:00
A2m v2,EU North,126.28999999999999,Av2 Series,07/20/2018 00:00:00
A2m v2,US West,133.59,Av2 Series,07/20/2018 00:00:00
A3,AP East,223.38,A Series,01/01/2018 00:00:00
A3,AP Southeast,223.38,A Series,01/01/2018 00:00:00
A3,AP Southeast,233.6,A Series Windows,05/01/2015 00:00:00
A3,AP East,233.6,A Series Windows,05/01/2015 00:00:00
A4,AP East,446.76,A Series,01/01/2018 00:00:00
A4,AP Southeast,446.76,A Series,01/01/2018 00:00:00
A4,AP Southeast,467.2,A Series Windows,05/01/2015 00:00:00
A4,AP East,467.2,A Series Windows,05/01/2015 00:00:00
A4 v2,US East 2,189.07,Av2 Series,07/20/2018 00:00:00
A4 v2,US West,189.07,Av2 Series,07/20/2018 00:00:00
A4 v2,EU North,183.23,Av2 Series,07/20/2018 00:00:00
A4 v2,EU West,183.23,Av2 Series,07/20/2018 00:00:00
A4 v2,US East,189.07,Av2 Series,07/20/2018 00:00:00
A4 v2,US West 2,165.71,Av2 Series,07/20/2018 00:00:00
A4 v2,AP East,211.7,Av2 Series,07/20/2018 00:00:00
A4 v2,AP Southeast,194.18,Av2 Series,07/20/2018 00:00:00
A4m v2,US East,223.38,Av2 Series,07/20/2018 00:00:00
A4m v2,US East 2,231.41,Av2 Series,07/20/2018 00:00:00
A4m v2,AP East,322.66,Av2 Series,07/20/2018 00:00:00
A4m v2,US West 2,201.48000000000002,Av2 Series,07/20/2018 00:00:00
A4m v2,US West,266.45,Av2 Series,07/20/2018 00:00:00
A4m v2,EU West,239.44,Av2 Series,07/20/2018 00:00:00
A4m v2,EU North,262.07,Av2 Series,07/20/2018 00:00:00
A4m v2,AP Southeast,254.76999999999998,Av2 Series,07/20/2018 00:00:00
A5,AP Southeast,221.19,A Series,01/01/2018 00:00:00
A5,AP East,238.71,A Series,01/01/2018 00:00:00
A6,AP Southeast,442.38,A Series,01/01/2018 00:00:00
A6,AP East,477.42,A Series,01/01/2018 00:00:00
A7,AP East,954.84,A Series,01/01/2018 00:00:00
A7,AP Southeast,884.76,A Series,01/01/2018 00:00:00
A8 v2,US West,391.28000000000003,Av2 Series,07/20/2018 00:00:00
A8 v2,US East,391.28000000000003,Av2 Series,07/20/2018 00:00:00
A8 v2,EU West,378.87,Av2 Series,07/20/2018 00:00:00
A8 v2,AP East,440.19,Av2 Series,07/20/2018 00:00:00
A8 v2,AP Southeast,403.69000000000005,Av2 Series,07/20/2018 00:00:00
A8 v2,US West 2,342.37,Av2 Series,07/20/2018 00:00:00
A8 v2,EU North,378.87,Av2 Series,07/20/2018 00:00:00
