SKU,SubCategory,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
A1 v2,Av2 Series,48.910000000000004,45.26,42.34,42.34,43.8,43.8,43.8,38.69
A2,A Series,111.69,111.69,,,,,,
A2,A Series Windows,116.8,116.8,,,,,,
A2 v2,ID Broker,155.49,143.08,134.32,134.32,138.7,138.7,138.7,121.91000000000001
A2 v2,Av2 Series,102.2,94.17,88.33,88.33,91.25,91.25,91.25,80.3
A2m v2,Av2 Series,154.76,122.64,126.28999999999999,115.34,111.69,111.69,133.59,97.09
A3,A Series,223.38,223.38,,,,,,
A3,A Series Windows,233.6,233.6,,,,,,
A4,A Series,446.76,446.76,,,,,,
A4,A Series Windows,467.2,467.2,,,,,,
A4 v2,Av2 Series,211.7,194.18,183.23,183.23,189.07,189.07,189.07,165.71
A4m v2,Av2 Series,322.66,254.76999999999998,262.07,239.44,223.38,231.41,266.45,201.48000000000002
A5,A Series,238.71,221.19,,,,,,
A6,A Series,477.42,442.38,,,,,,
A7,A Series,954.84,884.76,,,,,,
A8 v2,Av2 Series,440.19,403.69000000000005,378.87,378.87,391.28000000000003,391.28000000000003,391.28000000000003,342.37
A8m v2,Av2 Series,673.0600000000001,529.25,545.31,497.86,446.03,481.8,532.9,418.28999999999996
D1,D Series,90.155,69.715,,,,,,
D11,D Series,194.83700000000002,166.367,,,,,,
D12,D Series,388.871,332.661,,,,,,
D13,D Series,777.742,666.052,,,,,,
D14,D Series,1554.754,1332.104,,,,,,
D2,D Series,180.31,139.43,,,,,,
D3,D Series,360.62,278.86,,,,,,
D4,D Series,721.97,556.99,,,,,,
D5,D Series,1443.94,1114.71,,,,,,
D5,D Series Windows,2375.42,2068.09,,,,,,
E16 v3,Ev3/ESv3 Series,1362.18,1156.3200000000002,1045.36,1109.6,957.76,957.76,1039.52,957.76
E16s v3,Ev3/ESv3 Series,1362.18,1156.3200000000002,1045.36,1109.6,957.76,957.76,1039.52,957.76
E2 v3,Ev3/ESv3 Series,170.09,144.54000000000002,130.67,138.7,119.72,119.72,129.94,119.72
E20 v3,Ev3/ESv3 Series,1703.0900000000001,1445.4,1306.7,1387,1197.1999999999998,1197.1999999999998,1299.4,1197.1999999999998
E20s v3,Ev3/ESv3 Series,1703.0900000000001,1445.4,1306.7,1387,1197.1999999999998,1197.1999999999998,1299.4,1197.1999999999998
E2s v3,Ev3/ESv3 Series,170.09,144.54000000000002,130.67,138.7,119.72,119.72,129.94,119.72
E32 v3,Ev3/ESv3 Series,2725.09,2312.6400000000003,2090.72,2218.4700000000003,1915.52,1915.52,2079.04,1915.52
E32s v3,Ev3/ESv3 Series,2725.09,2312.6400000000003,2090.72,2218.4700000000003,1915.52,1915.52,2079.04,1915.52
E4 v3,Ev3/ESv3 Series,340.91,289.08000000000004,261.34,277.4,239.44,239.44,259.88,239.44
E4s v3,Ev3/ESv3 Series,340.91,289.08000000000004,261.34,277.4,239.44,239.44,259.88,239.44
E64 v3,Ev3/ESv3 Series,4993.93,4252.25,3852.21,4082.16,3536.85,3536.85,3831.04,3536.85
E64i v3,Ev3/ESv3 Series,4993.93,4252.25,3852.21,4082.16,3536.85,3536.85,3831.04,3536.85
E64is v3,Ev3/ESv3 Series,4993.93,4252.25,3852.21,4082.16,3536.85,3536.85,3831.04,3536.85
E64s v3,Ev3/ESv3 Series,4993.93,4252.25,3852.21,4082.16,3536.85,3536.85,3831.04,3536.85
E8 v3,Ev3/ESv3 Series,681.09,578.1600000000001,522.68,554.8,478.88,478.88,519.76,478.88
E8s v3,Ev3/ESv3 Series,681.09,578.1600000000001,522.68,554.8,478.88,478.88,519.76,478.88
F1,F/FS Series,66.42999999999999,55.991,55.188,55.334,50.150999999999996,50.150999999999996,59.13,50.150999999999996
F16,F/FS Series,1065.0700000000002,896.4399999999999,882.57,885.49,803.0000000000001,803.0000000000001,949,803.0000000000001
F16s,F/FS Series,1065.0700000000002,896.4399999999999,882.57,885.49,803.0000000000001,803.0000000000001,949,803.0000000000001
F16s v2,FSv2 Series,936.5899999999999,794.24,782.5600000000001,788.4000000000001,718.3199999999999,718.3199999999999,840.9599999999999,718.3199999999999
F1s,F/FS Series,66.42999999999999,55.991,55.188,55.334,50.150999999999996,50.150999999999996,59.13,50.150999999999996
F2,F/FS Series,132.85999999999999,111.69,110.22999999999999,110.96,100.01,100.01,118.26,100.01
F2s,F/FS Series,132.85999999999999,111.69,110.22999999999999,110.96,100.01,100.01,118.26,100.01
F2s v2,FSv2 Series,116.8,99.28,97.82000000000001,98.55000000000001,89.78999999999999,89.78999999999999,105.11999999999999,89.78999999999999
F32s v2,FSv2 Series,1873.1799999999998,1588.48,1565.1200000000001,1576.8000000000002,1436.6399999999999,1436.6399999999999,1681.9199999999998,1436.6399999999999
F4,F/FS Series,266.45,224.10999999999999,220.45999999999998,221.19,200.75000000000003,200.75000000000003,237.25,200.75000000000003
