SKU,Region,PerMonth,SubCategory,EffectiveDate
Base Units,EU North,5124.599999999999,Integration Service Environment,07/01/2019 00:00:00
Base Units,US East,4847.2,Integration Service Environment,07/01/2019 00:00:00
Base Units,AP East,5613.700000000001,Integration Service Environment,07/01/2019 00:00:00
Base Units,US West 2,4847.2,Integration Service Environment,07/01/2019 00:00:00
Base Units,US West,5263.3,Integration Service Environment,07/01/2019 00:00:00
Base Units,EU West,5263.3,Integration Service Environment,07/01/2019 00:00:00
Base Units,AP Southeast,5263.3,Integration Service Environment,07/01/2019 00:00:00
Base Units,US East 2,4847.2,Integration Service Environment,07/01/2019 00:00:00
Base Units,EU North,819.79,Integration Service Environment - Developer,06/10/2019 00:00:00
Base Units,AP East,942.43,Integration Service Environment - Developer,06/10/2019 00:00:00
Base Units,US West,854.83,Integration Service Environment - Developer,06/10/2019 00:00:00
Base Units,US East 2,749.7099999999999,Integration Service Environment - Developer,06/10/2019 00:00:00
Base Units,EU West,854.83,Integration Service Environment - Developer,06/10/2019 00:00:00
Base Units,US West 2,749.7099999999999,Integration Service Environment - Developer,06/10/2019 00:00:00
Base Units,AP Southeast,854.83,Integration Service Environment - Developer,06/10/2019 00:00:00
Base Units,US East,749.7099999999999,Integration Service Environment - Developer,06/10/2019 00:00:00
Built-in Actions,AP East,0.0219,,09/19/2017 00:00:00
Scale Units,US East,2423.6,Integration Service Environment,07/01/2019 00:00:00
Scale Units,US West,2635.2999999999997,Integration Service Environment,07/01/2019 00:00:00
Scale Units,AP Southeast,2635.2999999999997,Integration Service Environment,07/01/2019 00:00:00
Scale Units,US West 2,2423.6,Integration Service Environment,07/01/2019 00:00:00
Scale Units,AP East,2803.2,Integration Service Environment,07/01/2019 00:00:00
Scale Units,EU West,2635.2999999999997,Integration Service Environment,07/01/2019 00:00:00
Scale Units,US East 2,2423.6,Integration Service Environment,07/01/2019 00:00:00
Scale Units,EU North,2562.2999999999997,Integration Service Environment,07/01/2019 00:00:00
Standard Connector Actions,AP East,0.09855,,09/19/2017 00:00:00
