SKU,Region,PerMonth,SubCategory,EffectiveDate
Premium Output Content Minute,AP East,29.2,Video On Demand Encoding,01/01/2017 00:00:00
Premium Output Content Minute,AP Southeast,29.2,Video On Demand Encoding,01/01/2017 00:00:00
S1 Input Content Minutes,EU North,27.74,Media Redactor,07/03/2017 00:00:00
S1 Input Content Minutes,AP Southeast,27.74,Media Redactor,07/03/2017 00:00:00
S1 Input Content Minutes,AP East,27.74,Media Redactor,07/03/2017 00:00:00
S1 Input Content Minutes,EU West,27.74,Media Redactor,07/03/2017 00:00:00
S2 Input Content Minutes,EU North,55.48,Media Redactor,07/03/2017 00:00:00
S2 Input Content Minutes,AP Southeast,55.48,Media Redactor,07/03/2017 00:00:00
S2 Input Content Minutes,AP East,55.48,Media Redactor,07/03/2017 00:00:00
S2 Input Content Minutes,EU West,55.48,Media Redactor,07/03/2017 00:00:00
S3 Input Content Minutes,AP East,110.96,Media Redactor,07/03/2017 00:00:00
S3 Input Content Minutes,EU West,110.96,Media Redactor,07/03/2017 00:00:00
S3 Input Content Minutes,EU North,110.96,Media Redactor,07/03/2017 00:00:00
S3 Input Content Minutes,AP Southeast,110.96,Media Redactor,07/03/2017 00:00:00
Standard Output Content Minute,AP East,12.41,Video On Demand Encoding,01/01/2017 00:00:00
Standard Output Content Minute,AP Southeast,12.41,Video On Demand Encoding,01/01/2017 00:00:00
