SKU,SubCategory,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
C0 Cache Instance,Standard,20.075,20.075,20.075,20.075,20.075,20.075,20.075,20.075
C1 Cache Instance,Standard,50.370000000000005,50.370000000000005,50.370000000000005,50.370000000000005,50.370000000000005,50.370000000000005,50.370000000000005,50.370000000000005
C2 Cache Instance,Standard,81.76,81.76,81.76,81.76,81.76,81.76,81.76,81.76
C3 Cache Instance,Standard,164.25,164.25,164.25,164.25,164.25,164.25,164.25,164.25
C4 Cache Instance,Standard,191.26000000000002,191.26000000000002,191.26000000000002,191.26000000000002,191.26000000000002,191.26000000000002,191.26000000000002,191.26000000000002
C5 Cache Instance,Standard,383.25,383.25,383.25,383.25,383.25,383.25,383.25,383.25
C6 Cache Instance,Standard,766.5,766.5,766.5,766.5,766.5,766.5,766.5,766.5
P1 Cache Instance,Premium,202.21,202.21,202.21,202.21,202.21,202.21,202.21,202.21
P2 Cache Instance,Premium,405.15000000000003,405.15000000000003,405.15000000000003,405.15000000000003,405.15000000000003,405.15000000000003,405.15000000000003,405.15000000000003
P3 Cache Instance,Premium,809.5699999999999,809.5699999999999,809.5699999999999,809.5699999999999,809.5699999999999,809.5699999999999,809.5699999999999,809.5699999999999
P4 Cache Instance,Premium,1620.6000000000001,1620.6000000000001,1620.6000000000001,1620.6000000000001,1620.6000000000001,1620.6000000000001,1620.6000000000001,1620.6000000000001
P5 Cache Instance,Premium,3664.6,3664.6,3664.6,3664.6,3668.2500000000005,3664.6,3664.6,3664.6
