SKU,Region,PerMonth,SubCategory,EffectiveDate
Data Stored,US West,219,Managed Instance Business Critical - Storage,12/01/2018 00:00:00
Data Stored,US West 2,182.5,Managed Instance Business Critical - Storage,12/01/2018 00:00:00
Data Stored,AP Southeast,219,Managed Instance Business Critical - Storage,12/01/2018 00:00:00
Data Stored,EU North,200.75000000000003,Managed Instance Business Critical - Storage,12/01/2018 00:00:00
Data Stored,AP East,273.75,Managed Instance Business Critical - Storage,12/01/2018 00:00:00
Data Stored,US East 2,182.5,Managed Instance Business Critical - Storage,12/01/2018 00:00:00
Data Stored,US East,182.5,Managed Instance Business Critical - Storage,12/01/2018 00:00:00
Data Stored,EU West,217.17499999999998,Managed Instance Business Critical - Storage,12/01/2018 00:00:00
Data Stored,US West,100.74000000000001,Managed Instance General Purpose - Storage,10/01/2018 00:00:00
Data Stored,US East 2,83.95,Managed Instance General Purpose - Storage,10/01/2018 00:00:00
Data Stored,US East,83.95,Managed Instance General Purpose - Storage,10/01/2018 00:00:00
Data Stored,EU North,92.345,Managed Instance General Purpose - Storage,10/01/2018 00:00:00
Data Stored,AP Southeast,100.74000000000001,Managed Instance General Purpose - Storage,10/01/2018 00:00:00
Data Stored,US West 2,83.95,Managed Instance General Purpose - Storage,10/01/2018 00:00:00
Data Stored,AP East,125.925,Managed Instance General Purpose - Storage,10/01/2018 00:00:00
Data Stored,EU West,99.9005,Managed Instance General Purpose - Storage,10/01/2018 00:00:00
Data Stored,AP East,109.5,SingleDB Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,AP East,109.5,Managed Instance Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,AP Southeast,87.6,SingleDB Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,US West,87.6,Managed Instance Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,EU North,80.3,SingleDB Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,EU West,86.86999999999999,Managed Instance Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,US East 2,73,Managed Instance Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,US East,73,Managed Instance Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,US East,73,SingleDB Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,EU West,86.86999999999999,SingleDB Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,US East 2,73,SingleDB Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,US West 2,73,Managed Instance Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,US West,87.6,SingleDB Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,AP Southeast,87.6,Managed Instance Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,EU North,80.3,Managed Instance Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,US West 2,73,SingleDB Hyperscale - Storage,09/04/2018 00:00:00
Data Stored,US East 2,182.5,Single/Elastic Pool Business Critical - Storage,08/01/2018 00:00:00
Data Stored,AP East,125.925,Single/Elastic Pool General Purpose - Storage,08/01/2018 00:00:00
Data Stored,AP Southeast,322.66,Premium - Storage,08/01/2018 00:00:00
Data Stored,AP Southeast,161.33,Standard - Storage,08/01/2018 00:00:00
Data Stored,US West,219,Single/Elastic Pool Business Critical - Storage,08/01/2018 00:00:00
Data Stored,US West,100.74000000000001,Single/Elastic Pool General Purpose - Storage,08/01/2018 00:00:00
Data Stored,US West,161.33,Standard - Storage,08/01/2018 00:00:00
Data Stored,AP East,273.75,Single/Elastic Pool Business Critical - Storage,08/01/2018 00:00:00
Data Stored,EU North,200.75000000000003,Single/Elastic Pool Business Critical - Storage,08/01/2018 00:00:00
Data Stored,AP East,217.17499999999998,Standard - Storage,08/01/2018 00:00:00
Data Stored,EU North,148.92,Standard - Storage,08/01/2018 00:00:00
Data Stored,US West 2,124.10000000000001,Standard - Storage,08/01/2018 00:00:00
Data Stored,EU West,322.66,Premium - Storage,08/01/2018 00:00:00
