SKU,Region,PerMonth,SubCategory,EffectiveDate
100 GB Capacity Reservation,AP Southeast,94900,,08/28/2019 00:00:00
100 GB Capacity Reservation,EU West,94900,,08/28/2019 00:00:00
100 GB Capacity Reservation,AP East,113150,,08/28/2019 00:00:00
100 GB Capacity Reservation,US West 2,73000,,08/28/2019 00:00:00
100 GB Capacity Reservation,EU North,87600,,08/28/2019 00:00:00
100 GB Capacity Reservation,US East,73000,,08/28/2019 00:00:00
100 GB Capacity Reservation,US West,94900,,08/28/2019 00:00:00
100 GB Capacity Reservation,US East 2,73000,,08/28/2019 00:00:00
200 GB Capacity Reservation,AP East,203670,,08/28/2019 00:00:00
200 GB Capacity Reservation,US West,170820,,08/28/2019 00:00:00
200 GB Capacity Reservation,US East 2,131400,,08/28/2019 00:00:00
200 GB Capacity Reservation,US East,131400,,08/28/2019 00:00:00
200 GB Capacity Reservation,EU North,157680,,08/28/2019 00:00:00
200 GB Capacity Reservation,EU West,170820,,08/28/2019 00:00:00
200 GB Capacity Reservation,AP Southeast,170820,,08/28/2019 00:00:00
200 GB Capacity Reservation,US West 2,131400,,08/28/2019 00:00:00
300 GB Capacity Reservation,EU West,246740,,08/28/2019 00:00:00
300 GB Capacity Reservation,AP East,294190,,08/28/2019 00:00:00
300 GB Capacity Reservation,US East,189800,,08/28/2019 00:00:00
300 GB Capacity Reservation,US West,246740,,08/28/2019 00:00:00
300 GB Capacity Reservation,AP Southeast,246740,,08/28/2019 00:00:00
300 GB Capacity Reservation,US West 2,189800,,08/28/2019 00:00:00
300 GB Capacity Reservation,EU North,227760,,08/28/2019 00:00:00
300 GB Capacity Reservation,US East 2,189800,,08/28/2019 00:00:00
400 GB Capacity Reservation,AP East,377161.8,,08/28/2019 00:00:00
400 GB Capacity Reservation,AP Southeast,316330.89999999997,,08/28/2019 00:00:00
400 GB Capacity Reservation,US East 2,243330.9,,08/28/2019 00:00:00
400 GB Capacity Reservation,US West 2,243330.9,,08/28/2019 00:00:00
400 GB Capacity Reservation,EU North,292000,,08/28/2019 00:00:00
400 GB Capacity Reservation,EU West,316330.89999999997,,08/28/2019 00:00:00
400 GB Capacity Reservation,US West,316330.89999999997,,08/28/2019 00:00:00
400 GB Capacity Reservation,US East,243330.9,,08/28/2019 00:00:00
500 GB Capacity Reservation,AP Southeast,379600,,08/28/2019 00:00:00
500 GB Capacity Reservation,US East 2,292000,,08/28/2019 00:00:00
500 GB Capacity Reservation,EU West,379600,,08/28/2019 00:00:00
500 GB Capacity Reservation,US West,379600,,08/28/2019 00:00:00
500 GB Capacity Reservation,US West 2,292000,,08/28/2019 00:00:00
500 GB Capacity Reservation,US East,292000,,08/28/2019 00:00:00
500 GB Capacity Reservation,AP East,452600,,08/28/2019 00:00:00
500 GB Capacity Reservation,EU North,350400,,08/28/2019 00:00:00
Analysis,AP Southeast,1898,,08/28/2019 00:00:00
Analysis,US West,1898,,08/28/2019 00:00:00
Analysis,US East 2,1460,,08/28/2019 00:00:00
Analysis,US West 2,1460,,08/28/2019 00:00:00
Analysis,AP East,2263,,08/28/2019 00:00:00
Analysis,EU North,1752,,08/28/2019 00:00:00
Analysis,US East,1460,,08/28/2019 00:00:00
Analysis,EU West,1898,,08/28/2019 00:00:00
