SKU,Region,PerMonth,SubCategory,EffectiveDate
32 GiB Disk,EU North,2398.05,Volume Disks,05/11/2018 00:00:00
32 GiB Disk,US West,2131.6,Volume Disks,05/11/2018 00:00:00
32 GiB Disk,AP Southeast,2398.05,Volume Disks,05/11/2018 00:00:00
32 GiB Disk,US East,2131.6,Volume Disks,05/11/2018 00:00:00
Memory Duration,US East,0.00146,Container Compute,05/11/2018 00:00:00
Memory Duration,EU North,0.00146,Container Compute,05/11/2018 00:00:00
Memory Duration,US West,0.00146,Container Compute,05/11/2018 00:00:00
Memory Duration,AP Southeast,0.00146,Container Compute,05/11/2018 00:00:00
Provisioned IOPS (per 100 IOPS),AP Southeast,4.38,Reliable Collections,05/11/2018 00:00:00
Provisioned IOPS (per 100 IOPS),US East,3.65,Reliable Collections,05/11/2018 00:00:00
Provisioned IOPS (per 100 IOPS),EU North,3.65,Reliable Collections,05/11/2018 00:00:00
Provisioned IOPS (per 100 IOPS),US West,3.65,Reliable Collections,05/11/2018 00:00:00
Reliable Dictionary and Queue,US East,109.5,Reliable Collections,05/11/2018 00:00:00
Reliable Dictionary and Queue,US West,109.5,Reliable Collections,05/11/2018 00:00:00
Reliable Dictionary and Queue,EU North,109.5,Reliable Collections,05/11/2018 00:00:00
Reliable Dictionary and Queue,AP Southeast,131.4,Reliable Collections,05/11/2018 00:00:00
vCPU Duration,AP Southeast,0.00511,Container Compute,05/11/2018 00:00:00
vCPU Duration,EU North,0.00511,Container Compute,05/11/2018 00:00:00
vCPU Duration,US East,0.00511,Container Compute,05/11/2018 00:00:00
vCPU Duration,US West,0.00438,Container Compute,05/11/2018 00:00:00
