SKU,Region,PerMonth,SubCategory,EffectiveDate
CS28 Node,US West 2,4704.12,Azure VMware Solution by CloudSimple,10/28/2019 00:00:00
CS28 Node,EU West,5774.3,Azure VMware Solution by CloudSimple,06/01/2019 00:00:00
CS28 Node,US West,4704.12,Azure VMware Solution by CloudSimple,06/01/2019 00:00:00
CS28 Node,US East,4704.12,Azure VMware Solution by CloudSimple,06/01/2019 00:00:00
CS28 Trial Node,US West 2,0,Azure VMware Solution by CloudSimple,10/28/2019 00:00:00
CS36 Node,US West 2,6719.65,Azure VMware Solution by CloudSimple,10/28/2019 00:00:00
CS36 Node,US West,6719.65,Azure VMware Solution by CloudSimple,06/01/2019 00:00:00
CS36 Node,US East,6719.65,Azure VMware Solution by CloudSimple,06/01/2019 00:00:00
CS36 Node,EU West,8251.92,Azure VMware Solution by CloudSimple,06/01/2019 00:00:00
CS36 Trial Node,US West 2,0,Azure VMware Solution by CloudSimple,10/28/2019 00:00:00
CS36m Node,EU West,8012.4800000000005,Azure VMware Solution by CloudSimple,03/01/2020 00:00:00
CS36m Node,US West 2,6719.65,Azure VMware Solution by CloudSimple,10/28/2019 00:00:00
CS36m Node,US East,6719.65,Azure VMware Solution by CloudSimple,09/19/2019 00:00:00
CS36m Node,US West,6719.65,Azure VMware Solution by CloudSimple,09/19/2019 00:00:00
CS36m Trial Node,US West 2,0,Azure VMware Solution by CloudSimple,10/28/2019 00:00:00
