SKU,Region,PerMonth,SubCategory,EffectiveDate
Account Encrypted Batch Write Operations,US West 2,54.75,Tables,02/13/2020 00:00:00
Account Encrypted Batch Write Operations,US East,54.75,Tables,02/13/2020 00:00:00
Account Encrypted Delete Operations,US East,0.365,Tables,02/13/2020 00:00:00
Account Encrypted Delete Operations,US West 2,0.365,Tables,02/13/2020 00:00:00
Account Encrypted GRS Batch Write Operations,US East,109.5,Tables,02/13/2020 00:00:00
Account Encrypted GRS Batch Write Operations,US West 2,109.5,Tables,02/13/2020 00:00:00
Account Encrypted GRS Write Operations,US East,36.5,Tables,02/13/2020 00:00:00
Account Encrypted GRS Write Operations,US West 2,36.5,Tables,02/13/2020 00:00:00
Account Encrypted GZRS Batch Write Operations,US West 2,109.5,Tables,02/13/2020 00:00:00
Account Encrypted GZRS Batch Write Operations,US East,109.5,Tables,02/13/2020 00:00:00
Account Encrypted GZRS Write Operations,US West 2,36.5,Tables,02/13/2020 00:00:00
Account Encrypted GZRS Write Operations,US East,36.5,Tables,02/13/2020 00:00:00
Account Encrypted List Operations,US West 2,36.5,Tables,02/13/2020 00:00:00
Account Encrypted List Operations,US East,36.5,Tables,02/13/2020 00:00:00
Account Encrypted RA-GZRS Batch Write Operations,US West 2,109.5,Tables,02/13/2020 00:00:00
Account Encrypted RA-GZRS Batch Write Operations,US East,109.5,Tables,02/13/2020 00:00:00
Account Encrypted RA-GZRS Write Operations,US East,36.5,Tables,02/13/2020 00:00:00
Account Encrypted RA-GZRS Write Operations,US West 2,36.5,Tables,02/13/2020 00:00:00
Account Encrypted Read Operations,US East,1.825,Tables,02/13/2020 00:00:00
Account Encrypted Read Operations,US West 2,1.825,Tables,02/13/2020 00:00:00
Account Encrypted Scan Operations,US East,36.5,Tables,02/13/2020 00:00:00
Account Encrypted Scan Operations,US West 2,36.5,Tables,02/13/2020 00:00:00
Account Encrypted Write Operations,US East,18.25,Tables,02/13/2020 00:00:00
Account Encrypted Write Operations,US West 2,18.25,Tables,02/13/2020 00:00:00
All Other Operations,EU North,2.92,Tiered Block Blob,08/01/2017 00:00:00
All Other Operations,AP Southeast,2.92,Tiered Block Blob,08/01/2017 00:00:00
All Other Operations,US West,3.212,Tiered Block Blob,08/01/2017 00:00:00
All Other Operations,EU West,3.139,Tiered Block Blob,08/01/2017 00:00:00
All Other Operations,US West 2,2.92,Tiered Block Blob,08/01/2017 00:00:00
All Other Operations,AP East,2.92,Tiered Block Blob,08/01/2017 00:00:00
All Other Operations,US East,2.92,Tiered Block Blob,08/01/2017 00:00:00
All Other Operations,US East 2,2.92,Tiered Block Blob,08/01/2017 00:00:00
Archive Data Retrieval,EU West,17.52,General Block Blob v2 Hierarchical Namespace,03/01/2020 00:00:00
Archive Data Retrieval,AP East,25.55,General Block Blob v2 Hierarchical Namespace,03/01/2020 00:00:00
Archive Data Retrieval,US East 2,14.6,General Block Blob v2 Hierarchical Namespace,03/01/2020 00:00:00
Archive Data Retrieval,US West 2,14.6,General Block Blob v2 Hierarchical Namespace,03/01/2020 00:00:00
Archive Data Retrieval,EU North,16.06,General Block Blob v2 Hierarchical Namespace,03/01/2020 00:00:00
Archive Data Retrieval,US East,14.6,General Block Blob v2 Hierarchical Namespace,03/01/2020 00:00:00
Archive Data Retrieval,AP Southeast,17.52,General Block Blob v2 Hierarchical Namespace,03/01/2020 00:00:00
Archive Data Retrieval,US West,16.06,General Block Blob v2 Hierarchical Namespace,03/01/2020 00:00:00
Archive Data Retrieval,AP East,25.55,Azure Data Lake Storage Gen2 Hierarchical Namespace,08/28/2019 00:00:00
Archive Data Retrieval,US West,16.06,Azure Data Lake Storage Gen2 Flat Namespace,08/28/2019 00:00:00
Archive Data Retrieval,US East 2,14.6,Azure Data Lake Storage Gen2 Hierarchical Namespace,08/28/2019 00:00:00
Archive Data Retrieval,US East 2,14.6,Azure Data Lake Storage Gen2 Flat Namespace,08/28/2019 00:00:00
Archive Data Retrieval,US West 2,14.6,Azure Data Lake Storage Gen2 Hierarchical Namespace,08/28/2019 00:00:00
Archive Data Retrieval,US East,14.6,Azure Data Lake Storage Gen2 Hierarchical Namespace,08/28/2019 00:00:00
Archive Data Retrieval,US East,14.6,Azure Data Lake Storage Gen2 Flat Namespace,08/28/2019 00:00:00
Archive Data Retrieval,EU North,16.06,Azure Data Lake Storage Gen2 Hierarchical Namespace,08/28/2019 00:00:00
Archive Data Retrieval,AP East,25.55,Azure Data Lake Storage Gen2 Flat Namespace,08/28/2019 00:00:00
Archive Data Retrieval,AP Southeast,17.52,Azure Data Lake Storage Gen2 Flat Namespace,08/28/2019 00:00:00
Archive Data Retrieval,EU West,17.52,Azure Data Lake Storage Gen2 Flat Namespace,08/28/2019 00:00:00
Archive Data Retrieval,EU West,17.52,Azure Data Lake Storage Gen2 Hierarchical Namespace,08/28/2019 00:00:00
Archive Data Retrieval,US West,16.06,Azure Data Lake Storage Gen2 Hierarchical Namespace,08/28/2019 00:00:00
Archive Data Retrieval,US West 2,14.6,Azure Data Lake Storage Gen2 Flat Namespace,08/28/2019 00:00:00
Archive Data Retrieval,EU North,16.06,Azure Data Lake Storage Gen2 Flat Namespace,08/28/2019 00:00:00
Archive Data Retrieval,AP Southeast,17.52,Azure Data Lake Storage Gen2 Hierarchical Namespace,08/28/2019 00:00:00
Archive Data Retrieval,AP Southeast,17.52,Tiered Block Blob,06/28/2018 00:00:00
Archive Data Retrieval,AP East,25.55,Tiered Block Blob,06/28/2018 00:00:00
Archive Data Retrieval,EU West,17.52,Tiered Block Blob,03/01/2018 00:00:00
Archive Data Retrieval,US East,14.6,Tiered Block Blob,03/01/2018 00:00:00
Archive Data Retrieval,US West 2,14.6,Tiered Block Blob,03/01/2018 00:00:00
