SKU,SubCategory,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
Account Encrypted Batch Write Operations,Tables,,,,,54.75,,,54.75
Account Encrypted Delete Operations,Tables,,,,,0.365,,,0.365
Account Encrypted GRS Batch Write Operations,Tables,,,,,109.5,,,109.5
Account Encrypted GRS Write Operations,Tables,,,,,36.5,,,36.5
Account Encrypted GZRS Batch Write Operations,Tables,,,,,109.5,,,109.5
Account Encrypted GZRS Write Operations,Tables,,,,,36.5,,,36.5
Account Encrypted List Operations,Tables,,,,,36.5,,,36.5
Account Encrypted RA-GZRS Batch Write Operations,Tables,,,,,109.5,,,109.5
Account Encrypted RA-GZRS Write Operations,Tables,,,,,36.5,,,36.5
Account Encrypted Read Operations,Tables,,,,,1.825,,,1.825
Account Encrypted Scan Operations,Tables,,,,,36.5,,,36.5
Account Encrypted Write Operations,Tables,,,,,18.25,,,18.25
All Other Operations,Tiered Block Blob,2.92,2.92,2.92,3.139,2.92,2.92,3.212,2.92
Archive Data Retrieval,General Block Blob v2 Hierarchical Namespace,25.55,17.52,16.06,17.52,14.6,14.6,16.06,14.6
Archive Data Retrieval,Azure Data Lake Storage Gen2 Hierarchical Namespace,25.55,17.52,16.06,17.52,14.6,14.6,16.06,14.6
Archive Data Retrieval,Azure Data Lake Storage Gen2 Flat Namespace,25.55,17.52,16.06,17.52,14.6,14.6,16.06,14.6
Archive Data Retrieval,Tiered Block Blob,25.55,17.52,16.06,17.52,14.6,14.6,16.06,14.6
Archive Data Write,Tiered Block Blob,0,0,0,0,0,0,0,0
Archive GRS Data Stored,General Block Blob v2 Hierarchical Namespace,4.38,4.38,2.92,2.92,3.65,2.92,3.65,2.92
Archive GRS Data Stored,Azure Data Lake Storage Gen2 Hierarchical Namespace,2.92,2.92,2.0367,2.0367,2.1827,2.92,2.1827,2.1827
Archive GRS Data Stored,Azure Data Lake Storage Gen2 Flat Namespace,2.92,2.92,1.825,2.0367,2.1827,2.92,2.1827,2.1827
Archive GRS Data Stored,Tiered Block Blob,2.92,2.92,2.0367,2.0367,2.1827,2.92,2.1827,2.1827
Archive GRS Early Delete,Azure Data Lake Storage Gen2 Flat Namespace,2.92,2.92,1.825,2.0367,2.1827,2.92,2.1827,2.1827
Archive GRS Early Delete,Azure Data Lake Storage Gen2 Hierarchical Namespace,2.92,2.92,2.0367,2.0367,2.1827,2.92,2.1827,2.1827
Archive GRS Early Delete,Tiered Block Blob,2.92,2.92,2.0367,2.0367,2.1827,2.92,2.1827,2.1827
Archive GRS Iterative Read Operations,General Block Blob v2 Hierarchical Namespace,94.9,94.9,94.9,102.2,94.9,94.9,104.38999999999999,94.9
Archive GRS Iterative Read Operations,Azure Data Lake Storage Gen2 Hierarchical Namespace,94.9,94.9,94.9,102.2,94.9,94.9,104.38999999999999,94.9
Archive GRS Iterative Read Operations,Azure Data Lake Storage Gen2 Flat Namespace,73,73,73,78.84,73,73,80.3,73
Archive GRS Iterative Write Operations,General Block Blob v2 Hierarchical Namespace,280.32,280.32,218.26999999999998,218.26999999999998,199.29000000000002,189.8,199.29000000000002,189.8
Archive GRS Iterative Write Operations,Azure Data Lake Storage Gen2 Flat Namespace,215.35,215.35,167.9,167.9,153.29999999999998,146,153.29999999999998,146
Archive GRS Iterative Write Operations,Azure Data Lake Storage Gen2 Hierarchical Namespace,280.32,280.32,218.26999999999998,218.26999999999998,199.29000000000002,189.8,199.29000000000002,189.8
Archive GRS Write Additional IO,Azure Data Lake Storage Gen2 Hierarchical Namespace,,,21.826999999999998,21.826999999999998,19.929000000000002,18.98,19.929000000000002,18.98
Archive GRS Write Additional IO,Azure Data Lake Storage Gen2 Flat Namespace,,,16.79,16.79,15.33,14.6,15.33,14.6
Archive GRS Write Operations,General Block Blob v2 Hierarchical Namespace,280.32,280.32,218.26999999999998,218.26999999999998,199.29000000000002,189.8,199.29000000000002,189.8
Archive GRS Write Operations,Azure Data Lake Storage Gen2 Flat Namespace,215.35,215.35,167.9,167.9,153.29999999999998,146,153.29999999999998,146
