SKU,Region,PerMonth,SubCategory,EffectiveDate
A0,US West 2,13.139999999999999,A Series Basic Windows,03/01/2016 00:00:00
A0,US West 2,14.6,A Series Windows,03/01/2016 00:00:00
A0,US West 2,14.6,A Series,03/01/2016 00:00:00
A0,US West 2,13.139999999999999,A Series Basic,03/01/2016 00:00:00
A0,EU West,13.139999999999999,A Series Basic Windows,02/11/2014 00:00:00
A0,AP East,13.139999999999999,A Series Basic Windows,02/11/2014 00:00:00
A0,US West,13.139999999999999,A Series Basic,02/11/2014 00:00:00
A0,EU North,13.139999999999999,A Series Basic,02/11/2014 00:00:00
A0,US East 2,13.139999999999999,A Series Basic,02/11/2014 00:00:00
A0,AP Southeast,13.139999999999999,A Series Basic,02/11/2014 00:00:00
A0,US East,13.139999999999999,A Series Basic Windows,02/11/2014 00:00:00
A0,AP Southeast,13.139999999999999,A Series Basic Windows,02/11/2014 00:00:00
A0,EU North,13.139999999999999,A Series Basic Windows,02/11/2014 00:00:00
A0,AP East,13.139999999999999,A Series Basic,02/11/2014 00:00:00
A0,US West,13.139999999999999,A Series Basic Windows,02/11/2014 00:00:00
A0,US East 2,13.139999999999999,A Series Basic Windows,02/11/2014 00:00:00
A0,EU West,13.139999999999999,A Series Basic,02/11/2014 00:00:00
A0,US East,13.139999999999999,A Series Basic,02/11/2014 00:00:00
A0,AP East,14.6,A Series Windows,11/01/2013 00:00:00
A0,EU West,14.6,A Series,11/01/2013 00:00:00
A0,US East,14.6,A Series Windows,11/01/2013 00:00:00
A0,US East,14.6,A Series,11/01/2013 00:00:00
A0,EU North,14.6,A Series,11/01/2013 00:00:00
A0,US East 2,14.6,A Series,11/01/2013 00:00:00
A0,US West,14.6,A Series,11/01/2013 00:00:00
A0,EU West,14.6,A Series Windows,11/01/2013 00:00:00
A0,AP East,14.6,A Series,11/01/2013 00:00:00
A0,EU North,14.6,A Series Windows,11/01/2013 00:00:00
A0,AP Southeast,14.6,A Series,11/01/2013 00:00:00
A0,US West,14.6,A Series Windows,11/01/2013 00:00:00
A0,US East 2,14.6,A Series Windows,11/01/2013 00:00:00
A0,AP Southeast,14.6,A Series Windows,11/01/2013 00:00:00
A1,EU West,26.279999999999998,A Series Basic Windows,02/04/2017 00:00:00
A1,US East 2,25.55,A Series Basic Windows,02/04/2017 00:00:00
A1,US East,23.36,A Series Basic Windows,02/04/2017 00:00:00
A1,EU North,24.82,A Series Basic Windows,02/04/2017 00:00:00
A1,AP Southeast,28.47,A Series Basic Windows,02/04/2017 00:00:00
A1,AP Southeast,21.9,A Series Basic,02/04/2017 00:00:00
A1,US West,29.2,A Series Basic Windows,02/04/2017 00:00:00
A1,US West 2,16.79,A Series Basic,02/04/2017 00:00:00
A1,AP East,27.74,A Series Basic,02/04/2017 00:00:00
A1,US East,16.79,A Series Basic,02/04/2017 00:00:00
A1,US West,22.63,A Series Basic,02/04/2017 00:00:00
A1,EU North,18.25,A Series Basic,02/04/2017 00:00:00
A1,US West 2,23.36,A Series Basic Windows,02/04/2017 00:00:00
A1,AP East,35.77,A Series Basic Windows,02/04/2017 00:00:00
A1,EU West,19.71,A Series Basic,09/01/2016 00:00:00
A1,US East 2,17.52,A Series Basic,09/01/2016 00:00:00
