SKU,SubCategory,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
A0,A Series Basic Windows,13.139999999999999,13.139999999999999,13.139999999999999,13.139999999999999,13.139999999999999,13.139999999999999,13.139999999999999,13.139999999999999
A0,A Series Windows,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
A0,A Series,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
A0,A Series Basic,13.139999999999999,13.139999999999999,13.139999999999999,13.139999999999999,13.139999999999999,13.139999999999999,13.139999999999999,13.139999999999999
A1,A Series Basic Windows,35.77,28.47,24.82,26.279999999999998,23.36,25.55,29.2,23.36
A1,A Series Basic,27.74,21.9,18.25,19.71,16.79,17.52,22.63,16.79
A1,A Series Windows,65.7,65.7,65.7,65.7,65.7,65.7,65.7,62.050000000000004
A1,A Series,43.8,43.8,43.8,43.8,43.8,43.8,43.8,37.23
A1 v2,Av2 Series,36.5,32.85,29.93,29.93,31.389999999999997,31.389999999999997,31.389999999999997,26.279999999999998
A1 v2,Av2 Series Windows,55.48,49.64,45.26,45.26,47.45,47.45,47.45,39.42
A10,A Series Windows,,,788.4000000000001,906.66,856.2900000000001,,856.2900000000001,
A10,A Series,,,569.4,654.8100000000001,569.4,,569.4,
A11,A Series,,,1138.8,1309.6200000000001,1138.8,,1138.8,
A11,A Series Windows,,,1576.8000000000002,1813.32,1712.5800000000002,,1712.5800000000002,
A2,A Series Basic Windows,114.61,100.01,82.49000000000001,88.33,97.09,80.3,88.33,80.3
A2,A Series Basic,75.92,69.35,54.75,56.94,57.67,49.64,59.13,49.64
A2,A Series,87.6,87.6,87.6,87.6,87.6,87.6,87.6,73.73
A2,A Series Windows,131.4,131.4,131.4,131.4,131.4,131.4,131.4,124.10000000000001
A2 v2,Av2 Series,77.38,69.35,63.51,63.51,66.42999999999999,66.42999999999999,66.42999999999999,55.48
A2 v2,Av2 Series Windows,116.07000000000001,103.66,94.9,94.9,99.28,99.28,99.28,82.49000000000001
A2m v2,Av2 Series Windows,197.10000000000002,148.19,153.29999999999998,137.24,131.4,131.4,164.25,109.5
A2m v2,Av2 Series,129.94,97.82000000000001,101.47000000000001,90.52,86.86999999999999,86.86999999999999,108.77,72.27000000000001
A3,A Series,175.2,175.2,175.2,175.2,175.2,175.2,175.2,147.46
A3,A Series Basic,169.36,169.36,137.24,148.92,128.48,128.48,137.24,128.48
A3,A Series Basic Windows,254.04,254.04,219,236.52,216.07999999999998,216.07999999999998,224.84,216.07999999999998
A3,A Series Windows,262.8,262.8,262.8,262.8,262.8,262.8,262.8,248.20000000000002
A4,A Series Windows,525.6,525.6,525.6,525.6,525.6,525.6,525.6,497.13000000000005
A4,A Series Basic Windows,508.08,508.08,438,473.04,432.15999999999997,432.15999999999997,449.68,432.15999999999997
A4,A Series,350.4,350.4,350.4,350.4,350.4,350.4,350.4,295.65000000000003
A4,A Series Basic,338.72,338.72,274.48,297.84,256.96,256.96,274.48,256.96
A4 v2,Av2 Series Windows,243.09,217.54,200.02,200.02,208.77999999999997,208.77999999999997,208.77999999999997,173.73999999999998
A4 v2,Av2 Series,162.06,144.54000000000002,133.59,133.59,139.43,139.43,139.43,116.07000000000001
A4m v2,Av2 Series,273.02,205.13000000000002,212.42999999999998,189.8,173.73999999999998,181.77,216.81,151.84
A4m v2,Av2 Series Windows,413.90999999999997,310.25,321.93,287.62,262.8,275.94,328.5,229.95
A5,A Series,214.61999999999998,197.10000000000002,181.04,197.10000000000002,182.5,160.6,182.5,160.6
A5,A Series Windows,262.8,233.6,219,248.20000000000002,240.9,219,240.9,219
A6,A Series Windows,525.6,467.2,438,496.40000000000003,481.8,438,481.8,438
