SKU,Version,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
A0,,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
A1,,43.8,43.8,43.8,43.8,43.8,43.8,43.8,37.23
A10,,,,569.4,654.8100000000001,569.4,,569.4,
A11,,,,1138.8,1309.6200000000001,1138.8,,1138.8,
A2,,87.6,87.6,87.6,87.6,87.6,87.6,87.6,73.73
A3,,175.2,175.2,175.2,175.2,175.2,175.2,175.2,147.46
A4,,350.4,350.4,350.4,350.4,350.4,350.4,350.4,295.65000000000003
A5,,214.61999999999998,197.10000000000002,181.04,197.10000000000002,182.5,160.6,182.5,160.6
A6,,429.23999999999995,394.20000000000005,362.08,394.20000000000005,365,321.2,365,321.2
A7,,858.4799999999999,788.4000000000001,724.16,788.4000000000001,730,642.4,730,642.4
A8,,,,711.75,818.33,711.75,,711.75,
A9,,,,1423.5,1637.3899999999999,1423.5,,1423.5,
B12ms,,511.72999999999996,462.82,398.58000000000004,420.47999999999996,364.27,364.27,434.34999999999997,364.27
B16ms,,681.82,616.85,531.4399999999999,560.64,486.18,486.18,579.62,486.18
B1ls,,5.329,4.818,4.1610000000000005,4.38,3.796,3.796,4.526,3.796
B1ms,,21.316,19.272,16.571,17.52,15.110999999999999,15.184,18.104,15.110999999999999
B1s,,10.658,9.636,8.248999999999999,8.76,7.592,7.592,9.052,7.592
B20ms,,852.64,770.88,663.57,700.8,607.36,607.36,724.16,607.36
B2ms,,85.41000000000001,77.38,66.42999999999999,70.08,60.736,60.736,72.416,60.736
B2s,,42.632,38.544,32.85,35.04,30.368,30.368,36.208,30.368
B4ms,,170.82000000000002,154.03,132.85999999999999,140.16,121.18,121.18,144.54000000000002,121.18
B8ms,,340.91,308.06,265.71999999999997,280.32,243.09,243.09,289.81,243.09
D1,,82.49000000000001,71.54,53.29,61.32,56.21,48.910000000000004,56.21,
D11,,176.66,153.29999999999998,140.89000000000001,161.33,140.89000000000001,126.28999999999999,140.89000000000001,
D12,,352.59,306.59999999999997,281.78000000000003,322.66,281.78000000000003,253.30999999999997,281.78000000000003,
D13,,705.18,613.1999999999999,562.83,646.05,562.83,506.61999999999995,562.83,
D14,,1410.36,1226.3999999999999,1125.66,1291.37,1125.66,1012.51,1125.66,
D2,,164.25,143.08,106.58,122.64,112.42,97.82000000000001,112.42,
D3,,329.23,286.16,213.16,245.28,224.84,195.64000000000001,224.84,
D4,,658.46,572.32,426.32,490.56,449.68,391.28000000000003,449.68,
DC2s,,,,,187.61,144.54000000000002,,,
DC4s,,,,,375.22,288.35,,,
DS1,,82.49000000000001,71.54,53.29,61.32,56.21,48.910000000000004,56.21,
DS11,,176.66,153.29999999999998,140.89000000000001,161.33,140.89000000000001,126.28999999999999,140.89000000000001,
DS12,,352.59,306.59999999999997,281.78000000000003,322.66,281.78000000000003,253.30999999999997,281.78000000000003,
DS13,,705.18,613.1999999999999,562.83,646.05,562.83,506.61999999999995,562.83,
DS14,,1410.36,1226.3999999999999,1125.66,1291.37,1125.66,1012.51,1125.66,
DS2,,164.25,143.08,106.58,122.64,112.42,97.82000000000001,112.42,
DS3,,329.23,286.16,213.16,245.28,224.84,195.64000000000001,224.84,
DS4,,658.46,572.32,426.32,490.56,449.68,391.28000000000003,449.68,
F1,,52.559999999999995,42.121,41.318,41.464000000000006,36.281,36.281,45.26,36.281
F16,,843.15,674.52,660.65,663.57,581.08,581.08,727.08,581.08
F16s,,843.15,674.52,660.65,663.57,581.08,581.08,727.08,581.08
F1s,,52.559999999999995,42.121,41.318,41.464000000000006,36.281,36.281,45.26,36.281
F2,,105.11999999999999,83.95,82.49000000000001,83.22,72.27000000000001,72.27000000000001,90.52,72.27000000000001
F2s,,105.11999999999999,83.95,82.49000000000001,83.22,72.27000000000001,72.27000000000001,90.52,72.27000000000001
F4,,210.97,168.63,164.98000000000002,165.71,145.27,145.27,181.77,145.27
