SKU,Region,Rate,Version,MeterSubCategory
A0,US West 2,14.6,,A Series Windows
A0,AP East,14.6,,A Series Windows
A0,US East,14.6,,A Series Windows
A0,EU West,14.6,,A Series Windows
A0,EU North,14.6,,A Series Windows
A0,US West,14.6,,A Series Windows
A0,US East 2,14.6,,A Series Windows
A0,AP Southeast,14.6,,A Series Windows
A1,US West 2,62.050000000000004,,A Series Windows
A1,US West,65.7,,A Series Windows
A1,AP Southeast,65.7,,A Series Windows
A1,EU West,65.7,,A Series Windows
A1,EU North,65.7,,A Series Windows
A1,US East 2,65.7,,A Series Windows
A1,AP East,65.7,,A Series Windows
A1,US East,65.7,,A Series Windows
A10,EU West,906.66,,A Series Windows
A10,US West,856.2900000000001,,A Series Windows
A10,EU North,788.4000000000001,,A Series Windows
A10,US East,856.2900000000001,,A Series Windows
A11,EU North,1576.8000000000002,,A Series Windows
A11,US East,1712.5800000000002,,A Series Windows
A11,US West,1712.5800000000002,,A Series Windows
A11,EU West,1813.32,,A Series Windows
A2,US West 2,124.10000000000001,,A Series Windows
A2,EU North,131.4,,A Series Windows
A2,US East 2,131.4,,A Series Windows
A2,US East,131.4,,A Series Windows
A2,AP East,131.4,,A Series Windows
A2,US West,131.4,,A Series Windows
A2,AP Southeast,131.4,,A Series Windows
A2,EU West,131.4,,A Series Windows
A3,US West 2,248.20000000000002,,A Series Windows
A3,EU North,262.8,,A Series Windows
A3,AP East,262.8,,A Series Windows
A3,US East,262.8,,A Series Windows
A3,AP Southeast,262.8,,A Series Windows
A3,US East 2,262.8,,A Series Windows
A3,US West,262.8,,A Series Windows
A3,EU West,262.8,,A Series Windows
A4,US West 2,497.13000000000005,,A Series Windows
A4,US West,525.6,,A Series Windows
A4,AP East,525.6,,A Series Windows
A4,US East,525.6,,A Series Windows
A4,US East 2,525.6,,A Series Windows
A4,EU North,525.6,,A Series Windows
A4,EU West,525.6,,A Series Windows
A4,AP Southeast,525.6,,A Series Windows
A5,US West 2,219,,A Series Windows
A5,EU North,219,,A Series Windows
A5,AP Southeast,233.6,,A Series Windows
A5,US West,240.9,,A Series Windows
A5,EU West,248.20000000000002,,A Series Windows
A5,AP East,262.8,,A Series Windows
A5,US East 2,219,,A Series Windows
A5,US East,240.9,,A Series Windows
A6,US West 2,438,,A Series Windows
