SKU,Version,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
A0,,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
A1,,65.7,65.7,65.7,65.7,65.7,65.7,65.7,62.050000000000004
A10,,,,788.4000000000001,906.66,856.2900000000001,,856.2900000000001,
A11,,,,1576.8000000000002,1813.32,1712.5800000000002,,1712.5800000000002,
A2,,131.4,131.4,131.4,131.4,131.4,131.4,131.4,124.10000000000001
A3,,262.8,262.8,262.8,262.8,262.8,262.8,262.8,248.20000000000002
A4,,525.6,525.6,525.6,525.6,525.6,525.6,525.6,497.13000000000005
A5,,262.8,233.6,219,248.20000000000002,240.9,219,240.9,219
A6,,525.6,467.2,438,496.40000000000003,481.8,438,481.8,438
A7,,1051.2,934.4,876,992.8000000000001,963.6,876,963.6,876
A8,,,,985.5000000000001,1133.69,1070.18,,1070.18,
A9,,,,1971.0000000000002,2266.65,2141.0899999999997,,2141.0899999999997,
B12ms,,546.77,497.86,433.62,455.52,399.31,399.31,469.39,399.31
B16ms,,728.54,663.57,578.1600000000001,607.36,532.9,532.9,626.34,532.9
B1ls,,8.248999999999999,8.176,7.519,7.738,7.154,7.154,7.884,7.154
B1ms,,24.236,22.192,19.126,20.221,17.958000000000002,17.958000000000002,21.024,17.958000000000002
B1s,,13.578,12.556,11.168999999999999,11.68,10.22,10.22,11.972000000000001,10.22
B20ms,,911.04,829.28,721.97,759.2,665.76,665.76,782.5600000000001,665.76
B2ms,,91.25,83.22,72.416,75.92,66.57600000000001,66.57600000000001,78.11,66.57600000000001
B2s,,48.472,44.384,39.128,40.88,36.208,36.208,42.048,36.208
B4ms,,182.5,165.71,144.54000000000002,151.84,132.85999999999999,132.85999999999999,156.22,132.85999999999999
B8ms,,364.27,331.42,289.81,303.68,266.45,266.45,313.17,266.45
D1,,135.05,117.53,94.17,108.03999999999999,102.2,94.9,102.2,
D11,,256.96,223.38,177.39,203.67000000000002,192.72,177.39,192.72,
D12,,513.1899999999999,446.76,354.78,408.07000000000005,385.44,354.78,385.44,
D13,,1027.1100000000001,893.52,709.56,816.1400000000001,770.88,709.56,770.88,
D14,,2054.2200000000003,1786.31,1419.12,1632.2800000000002,1541.0300000000002,1419.12,1541.0300000000002,
D2,,270.1,235.06,188.34,216.81,204.4,189.8,204.4,
D3,,540.93,470.12,376.68,432.89,408.8,379.6,408.8,
D4,,1081.13,940.24,753.36,866.51,817.6,759.2,817.6,
DC2s,,,,,221.19,178.12,,,
DC4s,,,,,442.38,355.51,,,
DS1,,135.05,117.53,94.17,108.03999999999999,102.2,94.9,102.2,
DS11,,256.96,223.38,177.39,203.67000000000002,192.72,177.39,192.72,
DS12,,513.1899999999999,446.76,354.78,408.07000000000005,385.44,354.78,385.44,
DS13,,1027.1100000000001,893.52,709.56,816.1400000000001,770.88,709.56,770.88,
DS14,,2054.2200000000003,1786.31,1419.12,1632.2800000000002,1541.0300000000002,1419.12,1541.0300000000002,
DS2,,270.1,235.06,188.34,216.81,204.4,189.8,204.4,
DS3,,540.93,470.12,376.68,432.89,408.8,379.6,408.8,
DS4,,1081.13,940.24,753.36,866.51,817.6,759.2,817.6,
F1,,94.17,75.92,74.46,75.19,69.86099999999999,69.86099999999999,78.84,69.86099999999999
F16,,1512.56,1211.8,1191.36,1200.85,1118.3600000000001,1118.3600000000001,1264.36,1118.3600000000001
F16s,,1512.56,1211.8,1191.36,1200.85,1118.3600000000001,1118.3600000000001,1264.36,1118.3600000000001
F1s,,94.17,75.92,74.46,75.19,69.86099999999999,69.86099999999999,78.84,69.86099999999999
F2,,189.07,151.10999999999999,148.92,150.38,140.16,140.16,157.68,140.16
F2s,,189.07,151.10999999999999,148.92,150.38,140.16,140.16,157.68,140.16
F4,,378.14,302.95,297.84,300.03,279.59000000000003,279.59000000000003,316.09,279.59000000000003
F4s,,378.14,302.95,297.84,300.03,279.59000000000003,279.59000000000003,316.09,279.59000000000003
F8,,756.28,605.9,595.68,600.06,559.1800000000001,559.1800000000001,632.18,559.1800000000001
F8s,,756.28,605.9,595.68,600.06,559.1800000000001,559.1800000000001,632.18,559.1800000000001
G1,,,532.9,,562.1,,445.3,489.1,408.07000000000005
G2,,,1065.8,,1124.2,,890.6,978.2,816.87
G3,,,2131.6,,2248.4,,1781.2,1956.4,1633.74
G4,,,4263.2,,4496.8,,3562.4,3912.8,3266.7499999999995
G5,,,7694.2,,8103,,6409.4,7044.5,6409.4
GS1,,,532.9,,562.1,,445.3,489.1,408.07000000000005
GS2,,,1065.8,,1124.2,,890.6,978.2,816.87
GS3,,,2131.6,,2248.4,,1781.2,1956.4,1633.74
GS4,,,4263.2,,4496.8,,3562.4,3912.8,3266.7499999999995
GS5,,,7694.2,,8103,,6409.4,7044.5,6409.4
H16,,,1346.85,1387.73,1443.21,1329.33,,1387.73,1234.43
H16,,,2557.92,2208.25,2490.03,2560.84,,2349.14,1648.34
H16m,,,3170.39,2958.69,3336.1000000000004,3430.27,,3147.0299999999997,2042.54
H16m,,,1622.06,1676.8100000000002,1751.27,1598.7,,1676.8100000000002,1470.95
H16mr,,,1730.1000000000001,1790.6899999999998,1769.52,1704.55,,1790.6899999999998,1564.3899999999999
H16mr,,,3412.0200000000004,3254.34,3669.71,3773.37,,3461.66,2198.76
H16r,,,1427.8799999999999,1472.4099999999999,1533.73,1408.8999999999999,,1472.4099999999999,1303.78
H16r,,,2738.23,2429.44,2738.96,2816.34,,2584.2,1764.4099999999999
H8,,,673.7900000000001,693.5,721.24,665.03,,693.5,616.85
H8,,,1278.96,1104.49,1245.3799999999999,1280.42,,1175.3000000000002,824.17
H8m,,,811.03,838.04,875.2700000000001,799.35,,838.04,735.84
H8m,,,1584.83,1479.71,1668.0500000000002,1715.5,,1573.88,1021.27
HB60rs,,,2089.26,2006.0400000000002,4178.52,3679.2,1839.6,,
HC44rs,,,4483.66,2126.49,4483.66,3790.1600000000003,1895.0800000000002,2241.83,3790.1600000000003
L16s,,,1629.3600000000001,,1623.5200000000002,,1592.86,1541.76,1448.32
L32s,,,3258.7200000000003,,3247.0400000000004,,3186.4500000000003,3083.52,2896.64
L4s,,,407.34000000000003,,405.88000000000005,,398.58000000000004,385.44,362.08
L8s,,,814.6800000000001,,811.7600000000001,,796.43,770.88,724.16
M128ms,,43642.1375,34912.98,30039.5,33937.115999999995,26144.22,26144.22,,26144.22
M128s,,23022.375,18417.9,15982.619999999999,17930.260000000002,14034.98,14034.98,,14034.98
M16ms,,5106.9887499999995,4085.5910000000003,3524.44,3973.39,3076.074,3076.074,,3076.074
M16s,,3829.945,3063.81,2628,2976.794,2279.79,2279.79,,2279.79
