MeterName,MeterCategory,MeterSubCategory,SKU,Offering,License,Version,Region,Rate
A0,Virtual Machines,A Series Windows,A0,Standard,Windows,,US West 2,14.6
A0,Virtual Machines,A Series,A0,Standard,BYOL,,US West 2,14.6
A0,Virtual Machines,A Series Windows,A0,Standard,Windows,,AP East,14.6
A0,Virtual Machines,A Series,A0,Standard,BYOL,,EU West,14.6
A0,Virtual Machines,A Series Windows,A0,Standard,Windows,,US East,14.6
A0,Virtual Machines,A Series,A0,Standard,BYOL,,US East,14.6
A0,Virtual Machines,A Series,A0,Standard,BYOL,,EU North,14.6
A0,Virtual Machines,A Series,A0,Standard,BYOL,,US East 2,14.6
A0,Virtual Machines,A Series,A0,Standard,BYOL,,US West,14.6
A0,Virtual Machines,A Series Windows,A0,Standard,Windows,,EU West,14.6
A0,Virtual Machines,A Series,A0,Standard,BYOL,,AP East,14.6
A0,Virtual Machines,A Series Windows,A0,Standard,Windows,,EU North,14.6
A0,Virtual Machines,A Series,A0,Standard,BYOL,,AP Southeast,14.6
A0,Virtual Machines,A Series Windows,A0,Standard,Windows,,US West,14.6
A0,Virtual Machines,A Series Windows,A0,Standard,Windows,,US East 2,14.6
A0,Virtual Machines,A Series Windows,A0,Standard,Windows,,AP Southeast,14.6
A1,Virtual Machines,A Series Windows,A1,Standard,Windows,,US West 2,62.050000000000004
A1,Virtual Machines,A Series,A1,Standard,BYOL,,US West 2,37.23
A1,Virtual Machines,A Series Windows,A1,Standard,Windows,,US West,65.7
A1,Virtual Machines,A Series,A1,Standard,BYOL,,US West,43.8
A1,Virtual Machines,A Series,A1,Standard,BYOL,,EU North,43.8
A1,Virtual Machines,A Series Windows,A1,Standard,Windows,,AP Southeast,65.7
A1,Virtual Machines,A Series Windows,A1,Standard,Windows,,EU West,65.7
A1,Virtual Machines,A Series,A1,Standard,BYOL,,US East,43.8
A1,Virtual Machines,A Series,A1,Standard,BYOL,,AP East,43.8
A1,Virtual Machines,A Series,A1,Standard,BYOL,,EU West,43.8
A1,Virtual Machines,A Series,A1,Standard,BYOL,,AP Southeast,43.8
A1,Virtual Machines,A Series,A1,Standard,BYOL,,US East 2,43.8
A1,Virtual Machines,A Series Windows,A1,Standard,Windows,,EU North,65.7
A1,Virtual Machines,A Series Windows,A1,Standard,Windows,,US East 2,65.7
A1,Virtual Machines,A Series Windows,A1,Standard,Windows,,AP East,65.7
A1,Virtual Machines,A Series Windows,A1,Standard,Windows,,US East,65.7
A10,Virtual Machines,A Series Windows,A10,Standard,Windows,,EU West,906.66
A10,Virtual Machines,A Series,A10,Standard,BYOL,,US East,569.4
A10,Virtual Machines,A Series,A10,Standard,BYOL,,EU West,654.8100000000001
A10,Virtual Machines,A Series Windows,A10,Standard,Windows,,US West,856.2900000000001
A10,Virtual Machines,A Series Windows,A10,Standard,Windows,,EU North,788.4000000000001
A10,Virtual Machines,A Series,A10,Standard,BYOL,,EU North,569.4
A10,Virtual Machines,A Series Windows,A10,Standard,Windows,,US East,856.2900000000001
A10,Virtual Machines,A Series,A10,Standard,BYOL,,US West,569.4
A11,Virtual Machines,A Series,A11,Standard,BYOL,,US East,1138.8
A11,Virtual Machines,A Series Windows,A11,Standard,Windows,,EU North,1576.8000000000002
A11,Virtual Machines,A Series,A11,Standard,BYOL,,EU West,1309.6200000000001
A11,Virtual Machines,A Series Windows,A11,Standard,Windows,,US East,1712.5800000000002
A11,Virtual Machines,A Series,A11,Standard,BYOL,,US West,1138.8
A11,Virtual Machines,A Series Windows,A11,Standard,Windows,,US West,1712.5800000000002
A11,Virtual Machines,A Series Windows,A11,Standard,Windows,,EU West,1813.32
A11,Virtual Machines,A Series,A11,Standard,BYOL,,EU North,1138.8
A2,Virtual Machines,A Series,A2,Standard,BYOL,,US West 2,73.73
A2,Virtual Machines,A Series Windows,A2,Standard,Windows,,US West 2,124.10000000000001
A2,Virtual Machines,A Series,A2,Standard,BYOL,,US East 2,87.6
A2,Virtual Machines,A Series Windows,A2,Standard,Windows,,EU North,131.4
A2,Virtual Machines,A Series,A2,Standard,BYOL,,AP Southeast,87.6
A2,Virtual Machines,A Series,A2,Standard,BYOL,,US East,87.6
A2,Virtual Machines,A Series Windows,A2,Standard,Windows,,US East 2,131.4
A2,Virtual Machines,A Series,A2,Standard,BYOL,,EU West,87.6
A2,Virtual Machines,A Series Windows,A2,Standard,Windows,,US East,131.4
A2,Virtual Machines,A Series Windows,A2,Standard,Windows,,AP East,131.4
A2,Virtual Machines,A Series,A2,Standard,BYOL,,AP East,87.6
A2,Virtual Machines,A Series Windows,A2,Standard,Windows,,US West,131.4
A2,Virtual Machines,A Series,A2,Standard,BYOL,,US West,87.6
A2,Virtual Machines,A Series,A2,Standard,BYOL,,EU North,87.6
A2,Virtual Machines,A Series Windows,A2,Standard,Windows,,AP Southeast,131.4
A2,Virtual Machines,A Series Windows,A2,Standard,Windows,,EU West,131.4
A3,Virtual Machines,A Series,A3,Standard,BYOL,,US West 2,147.46
A3,Virtual Machines,A Series Windows,A3,Standard,Windows,,US West 2,248.20000000000002
A3,Virtual Machines,A Series,A3,Standard,BYOL,,EU West,175.2
A3,Virtual Machines,A Series,A3,Standard,BYOL,,AP Southeast,175.2
A3,Virtual Machines,A Series Windows,A3,Standard,Windows,,EU North,262.8
A3,Virtual Machines,A Series Windows,A3,Standard,Windows,,AP East,262.8
A3,Virtual Machines,A Series,A3,Standard,BYOL,,US West,175.2
A3,Virtual Machines,A Series,A3,Standard,BYOL,,US East,175.2
A3,Virtual Machines,A Series,A3,Standard,BYOL,,US East 2,175.2
A3,Virtual Machines,A Series Windows,A3,Standard,Windows,,US East,262.8
A3,Virtual Machines,A Series Windows,A3,Standard,Windows,,AP Southeast,262.8
A3,Virtual Machines,A Series,A3,Standard,BYOL,,AP East,175.2
A3,Virtual Machines,A Series,A3,Standard,BYOL,,EU North,175.2
A3,Virtual Machines,A Series Windows,A3,Standard,Windows,,US East 2,262.8
A3,Virtual Machines,A Series Windows,A3,Standard,Windows,,US West,262.8
A3,Virtual Machines,A Series Windows,A3,Standard,Windows,,EU West,262.8
A4,Virtual Machines,A Series Windows,A4,Standard,Windows,,US West 2,497.13000000000005
A4,Virtual Machines,A Series,A4,Standard,BYOL,,US West 2,295.65000000000003
A4,Virtual Machines,A Series Windows,A4,Standard,Windows,,US West,525.6
A4,Virtual Machines,A Series,A4,Standard,BYOL,,EU West,350.4
A4,Virtual Machines,A Series Windows,A4,Standard,Windows,,AP East,525.6
A4,Virtual Machines,A Series Windows,A4,Standard,Windows,,US East,525.6
A4,Virtual Machines,A Series,A4,Standard,BYOL,,EU North,350.4
A4,Virtual Machines,A Series Windows,A4,Standard,Windows,,US East 2,525.6
A4,Virtual Machines,A Series Windows,A4,Standard,Windows,,EU North,525.6
A4,Virtual Machines,A Series,A4,Standard,BYOL,,US East 2,350.4
A4,Virtual Machines,A Series Windows,A4,Standard,Windows,,EU West,525.6
A4,Virtual Machines,A Series,A4,Standard,BYOL,,AP East,350.4
A4,Virtual Machines,A Series,A4,Standard,BYOL,,US East,350.4
A4,Virtual Machines,A Series,A4,Standard,BYOL,,US West,350.4
A4,Virtual Machines,A Series Windows,A4,Standard,Windows,,AP Southeast,525.6
A4,Virtual Machines,A Series,A4,Standard,BYOL,,AP Southeast,350.4
A5,Virtual Machines,A Series,A5,Standard,BYOL,,US West 2,160.6
A5,Virtual Machines,A Series Windows,A5,Standard,Windows,,US West 2,219
A5,Virtual Machines,A Series Windows,A5,Standard,Windows,,EU North,219
A5,Virtual Machines,A Series Windows,A5,Standard,Windows,,AP Southeast,233.6
A5,Virtual Machines,A Series,A5,Standard,BYOL,,US West,182.5
A5,Virtual Machines,A Series Windows,A5,Standard,Windows,,US West,240.9
A5,Virtual Machines,A Series Windows,A5,Standard,Windows,,EU West,248.20000000000002
A5,Virtual Machines,A Series Windows,A5,Standard,Windows,,AP East,262.8
A5,Virtual Machines,A Series Windows,A5,Standard,Windows,,US East 2,219
A5,Virtual Machines,A Series Windows,A5,Standard,Windows,,US East,240.9
A5,Virtual Machines,A Series,A5,Standard,BYOL,,AP East,214.61999999999998
A5,Virtual Machines,A Series,A5,Standard,BYOL,,EU North,181.04
A5,Virtual Machines,A Series,A5,Standard,BYOL,,US East 2,160.6
A5,Virtual Machines,A Series,A5,Standard,BYOL,,EU West,197.10000000000002
A5,Virtual Machines,A Series,A5,Standard,BYOL,,US East,182.5
A5,Virtual Machines,A Series,A5,Standard,BYOL,,AP Southeast,197.10000000000002
A6,Virtual Machines,A Series Windows,A6,Standard,Windows,,US West 2,438
A6,Virtual Machines,A Series,A6,Standard,BYOL,,US West 2,321.2
A6,Virtual Machines,A Series Windows,A6,Standard,Windows,,US East,481.8
A6,Virtual Machines,A Series Windows,A6,Standard,Windows,,US West,481.8
A6,Virtual Machines,A Series,A6,Standard,BYOL,,US East 2,321.2
A6,Virtual Machines,A Series Windows,A6,Standard,Windows,,EU North,438
A6,Virtual Machines,A Series Windows,A6,Standard,Windows,,US East 2,438
A6,Virtual Machines,A Series,A6,Standard,BYOL,,EU North,362.08
A6,Virtual Machines,A Series Windows,A6,Standard,Windows,,AP Southeast,467.2
A6,Virtual Machines,A Series,A6,Standard,BYOL,,AP Southeast,394.20000000000005
A6,Virtual Machines,A Series,A6,Standard,BYOL,,US East,365
A6,Virtual Machines,A Series,A6,Standard,BYOL,,EU West,394.20000000000005
A6,Virtual Machines,A Series Windows,A6,Standard,Windows,,AP East,525.6
A6,Virtual Machines,A Series Windows,A6,Standard,Windows,,EU West,496.40000000000003
A6,Virtual Machines,A Series,A6,Standard,BYOL,,AP East,429.23999999999995
A6,Virtual Machines,A Series,A6,Standard,BYOL,,US West,365
A7,Virtual Machines,A Series Windows,A7,Standard,Windows,,US West 2,876
A7,Virtual Machines,A Series,A7,Standard,BYOL,,US West 2,642.4
A7,Virtual Machines,A Series,A7,Standard,BYOL,,US East,730
A7,Virtual Machines,A Series Windows,A7,Standard,Windows,,US East 2,876
A7,Virtual Machines,A Series Windows,A7,Standard,Windows,,AP Southeast,934.4
A7,Virtual Machines,A Series,A7,Standard,BYOL,,AP Southeast,788.4000000000001
A7,Virtual Machines,A Series,A7,Standard,BYOL,,EU West,788.4000000000001
A7,Virtual Machines,A Series Windows,A7,Standard,Windows,,US West,963.6
A7,Virtual Machines,A Series Windows,A7,Standard,Windows,,EU West,992.8000000000001
A7,Virtual Machines,A Series Windows,A7,Standard,Windows,,US East,963.6
A7,Virtual Machines,A Series,A7,Standard,BYOL,,EU North,724.16
A7,Virtual Machines,A Series,A7,Standard,BYOL,,US West,730
A7,Virtual Machines,A Series,A7,Standard,BYOL,,US East 2,642.4
A7,Virtual Machines,A Series Windows,A7,Standard,Windows,,AP East,1051.2
A7,Virtual Machines,A Series Windows,A7,Standard,Windows,,EU North,876
A7,Virtual Machines,A Series,A7,Standard,BYOL,,AP East,858.4799999999999
A8,Virtual Machines,A Series Windows,A8,Standard,Windows,,EU West,1133.69
A8,Virtual Machines,A Series,A8,Standard,BYOL,,US West,711.75
A8,Virtual Machines,A Series,A8,Standard,BYOL,,EU North,711.75
A8,Virtual Machines,A Series,A8,Standard,BYOL,,EU West,818.33
A8,Virtual Machines,A Series Windows,A8,Standard,Windows,,US West,1070.18
A8,Virtual Machines,A Series Windows,A8,Standard,Windows,,US East,1070.18
A8,Virtual Machines,A Series Windows,A8,Standard,Windows,,EU North,985.5000000000001
A8,Virtual Machines,A Series,A8,Standard,BYOL,,US East,711.75
A9,Virtual Machines,A Series,A9,Standard,BYOL,,EU North,1423.5
A9,Virtual Machines,A Series,A9,Standard,BYOL,,US West,1423.5
A9,Virtual Machines,A Series Windows,A9,Standard,Windows,,US West,2141.0899999999997
A9,Virtual Machines,A Series Windows,A9,Standard,Windows,,EU North,1971.0000000000002
A9,Virtual Machines,A Series,A9,Standard,BYOL,,US East,1423.5
A9,Virtual Machines,A Series Windows,A9,Standard,Windows,,EU West,2266.65
A9,Virtual Machines,A Series,A9,Standard,BYOL,,EU West,1637.3899999999999
A9,Virtual Machines,A Series Windows,A9,Standard,Windows,,US East,2141.0899999999997
B12ms,Virtual Machines,BS Series Windows,B12ms,Standard,Windows,,AP East,546.77
B12ms,Virtual Machines,BS Series,B12ms,Standard,BYOL,,AP East,511.72999999999996
B12ms,Virtual Machines,BS Series,B12ms,Standard,BYOL,,US East,364.27
B12ms,Virtual Machines,BS Series,B12ms,Standard,BYOL,,US West,434.34999999999997
B12ms,Virtual Machines,BS Series,B12ms,Standard,BYOL,,US East 2,364.27
B12ms,Virtual Machines,BS Series,B12ms,Standard,BYOL,,US West 2,364.27
B12ms,Virtual Machines,BS Series,B12ms,Standard,BYOL,,AP Southeast,462.82
B12ms,Virtual Machines,BS Series Windows,B12ms,Standard,Windows,,US East 2,399.31
B12ms,Virtual Machines,BS Series Windows,B12ms,Standard,Windows,,EU North,433.62
B12ms,Virtual Machines,BS Series Windows,B12ms,Standard,Windows,,US East,399.31
B12ms,Virtual Machines,BS Series Windows,B12ms,Standard,Windows,,EU West,455.52
B12ms,Virtual Machines,BS Series Windows,B12ms,Standard,Windows,,US West,469.39
B12ms,Virtual Machines,BS Series,B12ms,Standard,BYOL,,EU West,420.47999999999996
B12ms,Virtual Machines,BS Series Windows,B12ms,Standard,Windows,,US West 2,399.31
B12ms,Virtual Machines,BS Series,B12ms,Standard,BYOL,,EU North,398.58000000000004
B12ms,Virtual Machines,BS Series Windows,B12ms,Standard,Windows,,AP Southeast,497.86
B16ms,Virtual Machines,BS Series Windows,B16ms,Standard,Windows,,AP East,728.54
B16ms,Virtual Machines,BS Series,B16ms,Standard,BYOL,,AP East,681.82
B16ms,Virtual Machines,BS Series,B16ms,Standard,BYOL,,AP Southeast,616.85
B16ms,Virtual Machines,BS Series Windows,B16ms,Standard,Windows,,AP Southeast,663.57
B16ms,Virtual Machines,BS Series,B16ms,Standard,BYOL,,US West,579.62
B16ms,Virtual Machines,BS Series,B16ms,Standard,BYOL,,US West 2,486.18
B16ms,Virtual Machines,BS Series Windows,B16ms,Standard,Windows,,US East,532.9
B16ms,Virtual Machines,BS Series Windows,B16ms,Standard,Windows,,EU West,607.36
B16ms,Virtual Machines,BS Series Windows,B16ms,Standard,Windows,,US West 2,532.9
B16ms,Virtual Machines,BS Series,B16ms,Standard,BYOL,,US East,486.18
B16ms,Virtual Machines,BS Series,B16ms,Standard,BYOL,,EU West,560.64
B16ms,Virtual Machines,BS Series,B16ms,Standard,BYOL,,EU North,531.4399999999999
B16ms,Virtual Machines,BS Series Windows,B16ms,Standard,Windows,,EU North,578.1600000000001
B16ms,Virtual Machines,BS Series,B16ms,Standard,BYOL,,US East 2,486.18
B16ms,Virtual Machines,BS Series Windows,B16ms,Standard,Windows,,US West,626.34
B16ms,Virtual Machines,BS Series Windows,B16ms,Standard,Windows,,US East 2,532.9
B1ls,Virtual Machines,BS Series,B1ls,Standard,BYOL,,AP East,5.329
B1ls,Virtual Machines,BS Series Windows,B1ls,Standard,Windows,,AP East,8.248999999999999
B1ls,Virtual Machines,BS Series Windows,B1ls,Standard,Windows,,US East 2,7.154
B1ls,Virtual Machines,BS Series Windows,B1ls,Standard,Windows,,EU North,7.519
B1ls,Virtual Machines,BS Series Windows,B1ls,Standard,Windows,,US West 2,7.154
